,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,285,282,11.0,19.0,8.0,0.0,5600.0,1295.0,2740.0,2000.0,95.0,9.333333333333334,76.14782427396673,60.178966040548765,15.968858233417977,29.0,18.0,9.0,0.0,5929.0,1403.0,3220.0,2050.0,59.0,12.0,95.19522163354905,52.453449575266006,42.74177205828304,f,3
1,306,240,11.0,19.0,8.0,0.0,5600.0,1295.0,2740.0,2000.0,95.0,9.333333333333334,76.14782427396673,60.178966040548765,15.968858233417977,29.0,18.0,9.0,0.0,5929.0,1403.0,3220.0,2050.0,59.0,12.0,95.19522163354905,52.453449575266006,42.74177205828304,f,66
2,210,311,9.0,17.0,9.0,1.0,5035.0,1151.0,2660.0,1700.0,45.0,14.666666666666666,57.84849722005922,63.595396624327144,-5.74689940426791,29.0,18.0,9.0,0.0,5929.0,1403.0,3220.0,2050.0,59.0,12.0,95.19522163354905,52.453449575266006,42.74177205828304,qf,-101
3,255,447,9.0,17.0,9.0,1.0,5035.0,1151.0,2660.0,1700.0,45.0,14.666666666666666,57.84849722005922,63.595396624327144,-5.74689940426791,29.0,18.0,9.0,0.0,5929.0,1403.0,3220.0,2050.0,59.0,12.0,95.19522163354905,52.453449575266006,42.74177205828304,qf,-192
4,223,395,13.0,12.0,13.0,2.0,5285.0,758.0,2280.0,2300.0,225.0,24.0,74.55267149014439,86.01612809400619,-11.463456603861799,15.0,16.0,8.0,3.0,5963.0,1117.0,2900.0,2350.0,33.0,12.333333333333334,112.28640615337345,57.109719627463626,55.17668652590982,qf,-172
5,199,255,13.0,12.0,13.0,2.0,5285.0,758.0,2280.0,2300.0,225.0,24.0,74.55267149014439,86.01612809400619,-11.463456603861799,15.0,16.0,8.0,3.0,5963.0,1117.0,2900.0,2350.0,33.0,12.333333333333334,112.28640615337345,57.109719627463626,55.17668652590982,qf,-56
6,240,196,3.0,16.0,10.0,1.0,5804.0,1071.0,2840.0,2150.0,104.0,13.666666666666666,89.65077645185296,70.35561214252277,19.29516430933019,13.0,17.0,8.0,2.0,5545.0,1071.0,2720.0,2200.0,30.0,14.333333333333334,79.85341202625489,56.13025169515422,23.72316033110066,qf,44
7,195,422,3.0,16.0,10.0,1.0,5804.0,1071.0,2840.0,2150.0,104.0,13.666666666666666,89.65077645185296,70.35561214252277,19.29516430933019,13.0,17.0,8.0,2.0,5545.0,1071.0,2720.0,2200.0,30.0,14.333333333333334,79.85341202625489,56.13025169515422,23.72316033110066,qf,-227
8,210,256,3.0,16.0,10.0,1.0,5804.0,1071.0,2840.0,2150.0,104.0,13.666666666666666,89.65077645185296,70.35561214252277,19.29516430933019,13.0,17.0,8.0,2.0,5545.0,1071.0,2720.0,2200.0,30.0,14.333333333333334,79.85341202625489,56.13025169515422,23.72316033110066,qf,-46
9,190,260,9.0,17.0,8.0,1.0,5953.0,1192.0,2880.0,2450.0,23.0,11.333333333333334,105.96460973797984,39.30560389837606,66.65900583960376,11.0,19.0,8.0,0.0,5600.0,1295.0,2740.0,2000.0,95.0,9.333333333333334,76.14782427396673,60.178966040548765,15.968858233417977,qf,-70
