,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,235,451,6.0,26.0,10.0,0.0,9455.0,1805.0,4420.0,4100.0,60.0,7.0,95.95204267911087,66.0528330006358,29.899209678475057,6.0,26.0,10.0,0.0,9455.0,1805.0,4420.0,4100.0,60.0,7.0,95.95204267911087,66.0528330006358,29.899209678475057,f,-216
1,285,474,6.0,26.0,10.0,0.0,9455.0,1805.0,4420.0,4100.0,60.0,7.0,95.95204267911087,66.0528330006358,29.899209678475057,6.0,26.0,10.0,0.0,9455.0,1805.0,4420.0,4100.0,60.0,7.0,95.95204267911087,66.0528330006358,29.899209678475057,f,-189
2,310,459,36.0,18.0,17.0,0.0,8102.0,1621.0,4100.0,3250.0,57.0,20.666666666666668,69.23786463434139,87.70281227851576,-18.464947644174377,36.0,18.0,17.0,0.0,8102.0,1621.0,4100.0,3250.0,57.0,20.666666666666668,69.23786463434139,87.70281227851576,-18.464947644174377,qf,-149
3,255,262,36.0,18.0,17.0,0.0,8102.0,1621.0,4100.0,3250.0,57.0,20.666666666666668,69.23786463434139,87.70281227851576,-18.464947644174377,36.0,18.0,17.0,0.0,8102.0,1621.0,4100.0,3250.0,57.0,20.666666666666668,69.23786463434139,87.70281227851576,-18.464947644174377,qf,-7
4,275,280,56.0,18.0,18.0,0.0,8544.0,1989.0,4560.0,3300.0,59.0,19.666666666666668,76.79044428291796,89.56729184550663,-12.776847562588662,56.0,18.0,18.0,0.0,8544.0,1989.0,4560.0,3300.0,59.0,19.666666666666668,76.79044428291796,89.56729184550663,-12.776847562588662,qf,-5
5,320,420,56.0,18.0,18.0,0.0,8544.0,1989.0,4560.0,3300.0,59.0,19.666666666666668,76.79044428291796,89.56729184550663,-12.776847562588662,56.0,18.0,18.0,0.0,8544.0,1989.0,4560.0,3300.0,59.0,19.666666666666668,76.79044428291796,89.56729184550663,-12.776847562588662,qf,-100
6,331,305,45.0,19.0,14.0,1.0,8262.0,1507.0,4100.0,3350.0,37.0,20.0,89.79895603441967,80.43577642513664,9.363179609283032,45.0,19.0,14.0,1.0,8262.0,1507.0,4100.0,3350.0,37.0,20.0,89.79895603441967,80.43577642513664,9.363179609283032,qf,26
7,255,475,45.0,19.0,14.0,1.0,8262.0,1507.0,4100.0,3350.0,37.0,20.0,89.79895603441967,80.43577642513664,9.363179609283032,45.0,19.0,14.0,1.0,8262.0,1507.0,4100.0,3350.0,37.0,20.0,89.79895603441967,80.43577642513664,9.363179609283032,qf,-220
8,206,255,45.0,19.0,14.0,1.0,8262.0,1507.0,4100.0,3350.0,37.0,20.0,89.79895603441967,80.43577642513664,9.363179609283032,45.0,19.0,14.0,1.0,8262.0,1507.0,4100.0,3350.0,37.0,20.0,89.79895603441967,80.43577642513664,9.363179609283032,qf,-49
9,0,207,33.0,20.0,15.0,1.0,9229.0,1787.0,4420.0,4150.0,24.0,13.666666666666666,98.08857378467258,78.16922473755248,19.919349047120097,33.0,20.0,15.0,1.0,9229.0,1787.0,4420.0,4150.0,24.0,13.666666666666666,98.08857378467258,78.16922473755248,19.919349047120097,qf,-207
10,255,320,33.0,20.0,15.0,1.0,9229.0,1787.0,4420.0,4150.0,24.0,13.666666666666666,98.08857378467258,78.16922473755248,19.919349047120097,33.0,20.0,15.0,1.0,9229.0,1787.0,4420.0,4150.0,24.0,13.666666666666666,98.08857378467258,78.16922473755248,19.919349047120097,qf,-65
11,145,145,31.0,11.0,21.0,3.0,7591.0,1457.0,3920.0,2900.0,36.0,28.666666666666668,62.503958576324855,71.08202361468891,-8.578065038364064,31.0,11.0,21.0,3.0,7591.0,1457.0,3920.0,2900.0,36.0,28.666666666666668,62.503958576324855,71.08202361468891,-8.578065038364064,qm,0
12,380,160,51.0,20.0,14.0,2.0,9490.0,1981.0,4520.0,3950.0,30.0,15.666666666666666,97.390481555275,79.60626010219065,17.784221453084363,51.0,20.0,14.0,2.0,9490.0,1981.0,4520.0,3950.0,30.0,15.666666666666666,97.390481555275,79.60626010219065,17.784221453084363,qm,220
13,288,145,44.0,21.0,15.0,0.0,9027.0,1898.0,4160.0,3750.0,442.0,12.0,93.97790943183115,74.96911497358677,19.00879445824439,44.0,21.0,15.0,0.0,9027.0,1898.0,4160.0,3750.0,442.0,12.0,93.97790943183115,74.96911497358677,19.00879445824439,qm,143
14,255,245,27.0,22.0,14.0,0.0,9372.0,1762.0,4520.0,3900.0,77.0,12.0,99.44204865451361,76.91675876302943,22.525289891484167,27.0,22.0,14.0,0.0,9372.0,1762.0,4520.0,3900.0,77.0,12.0,99.44204865451361,76.91675876302943,22.525289891484167,qm,10
15,215,240,24.0,14.0,21.0,0.0,8065.0,1546.0,4060.0,3300.0,90.0,24.666666666666668,70.12303609822234,81.31178001037198,-11.188743912149626,24.0,14.0,21.0,0.0,8065.0,1546.0,4060.0,3300.0,90.0,24.666666666666668,70.12303609822234,81.31178001037198,-11.188743912149626,qm,-25
16,185,355,31.0,18.0,15.0,2.0,8469.0,1552.0,4180.0,3550.0,49.0,18.0,78.61329056132843,82.82228976931005,-4.20899920798163,31.0,18.0,15.0,2.0,8469.0,1552.0,4180.0,3550.0,49.0,18.0,78.61329056132843,82.82228976931005,-4.20899920798163,qm,-170
17,255,257,36.0,17.0,17.0,2.0,8400.0,1837.0,4480.0,3300.0,45.0,19.0,74.57633934144887,77.50131874977318,-2.9249794083242975,36.0,17.0,17.0,2.0,8400.0,1837.0,4480.0,3300.0,45.0,19.0,74.57633934144887,77.50131874977318,-2.9249794083242975,qm,-2
18,225,210,33.0,16.0,18.0,1.0,8285.0,1852.0,4040.0,3500.0,65.0,24.333333333333332,74.26822477296952,86.36974816272813,-12.101523389758626,33.0,16.0,18.0,1.0,8285.0,1852.0,4040.0,3500.0,65.0,24.333333333333332,74.26822477296952,86.36974816272813,-12.101523389758626,qm,15
