,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,391,283,23.0,11.0,13.0,0.0,5310.0,1257.0,3000.0,1750.0,50.0,11.666666666666666,83.4773489894594,102.51029008222345,-19.032941092764062,24.0,12.0,12.0,0.0,5270.0,1374.0,2860.0,1650.0,265.0,10.0,84.06575738461275,69.21886418002778,14.846893204584964,f,108
1,228,220,23.0,11.0,13.0,0.0,5310.0,1257.0,3000.0,1750.0,50.0,11.666666666666666,83.4773489894594,102.51029008222345,-19.032941092764062,24.0,12.0,12.0,0.0,5270.0,1374.0,2860.0,1650.0,265.0,10.0,84.06575738461275,69.21886418002778,14.846893204584964,f,8
2,135,234,13.0,10.0,14.0,0.0,4205.0,904.0,2400.0,1200.0,100.0,16.333333333333332,37.99923537954939,72.57324220591066,-34.57400682636128,24.0,12.0,12.0,0.0,5270.0,1374.0,2860.0,1650.0,265.0,10.0,84.06575738461275,69.21886418002778,14.846893204584964,qf,-99
3,130,310,13.0,10.0,14.0,0.0,4205.0,904.0,2400.0,1200.0,100.0,16.333333333333332,37.99923537954939,72.57324220591066,-34.57400682636128,24.0,12.0,12.0,0.0,5270.0,1374.0,2860.0,1650.0,265.0,10.0,84.06575738461275,69.21886418002778,14.846893204584964,qf,-180
4,215,165,18.0,12.0,12.0,0.0,5038.0,1180.0,2600.0,1900.0,173.0,11.666666666666666,71.97416060632811,46.60130806575226,25.37285254057586,18.0,13.0,11.0,0.0,4782.0,972.0,2660.0,1600.0,12.0,12.0,68.81865418677059,55.68851347722144,13.130140709549147,qf,50
5,205,240,18.0,12.0,12.0,0.0,5038.0,1180.0,2600.0,1900.0,173.0,11.666666666666666,71.97416060632811,46.60130806575226,25.37285254057586,18.0,13.0,11.0,0.0,4782.0,972.0,2660.0,1600.0,12.0,12.0,68.81865418677059,55.68851347722144,13.130140709549147,qf,-35
6,305,255,18.0,12.0,12.0,0.0,5038.0,1180.0,2600.0,1900.0,173.0,11.666666666666666,71.97416060632811,46.60130806575226,25.37285254057586,18.0,13.0,11.0,0.0,4782.0,972.0,2660.0,1600.0,12.0,12.0,68.81865418677059,55.68851347722144,13.130140709549147,qf,50
7,255,200,15.0,12.0,12.0,0.0,4364.0,899.0,2480.0,1500.0,9.0,13.666666666666666,50.44627833894453,73.50031205640936,-23.05403371746482,14.0,13.0,11.0,0.0,5037.0,1259.0,2760.0,1850.0,27.0,12.0,72.88710148597185,57.85883023226237,15.028271253709475,qf,55
8,255,275,15.0,12.0,12.0,0.0,4364.0,899.0,2480.0,1500.0,9.0,13.666666666666666,50.44627833894453,73.50031205640936,-23.05403371746482,14.0,13.0,11.0,0.0,5037.0,1259.0,2760.0,1850.0,27.0,12.0,72.88710148597185,57.85883023226237,15.028271253709475,qf,-20
9,255,205,15.0,12.0,12.0,0.0,4364.0,899.0,2480.0,1500.0,9.0,13.666666666666666,50.44627833894453,73.50031205640936,-23.05403371746482,14.0,13.0,11.0,0.0,5037.0,1259.0,2760.0,1850.0,27.0,12.0,72.88710148597185,57.85883023226237,15.028271253709475,qf,50
10,245,370,17.0,13.0,11.0,0.0,4817.0,795.0,2480.0,1900.0,27.0,12.666666666666666,69.53979696223026,61.256973033529924,8.28282392870034,23.0,11.0,13.0,0.0,5310.0,1257.0,3000.0,1750.0,50.0,11.666666666666666,83.4773489894594,102.51029008222345,-19.032941092764062,qf,-125
11,270,346,17.0,13.0,11.0,0.0,4817.0,795.0,2480.0,1900.0,27.0,12.666666666666666,69.53979696223026,61.256973033529924,8.28282392870034,23.0,11.0,13.0,0.0,5310.0,1257.0,3000.0,1750.0,50.0,11.666666666666666,83.4773489894594,102.51029008222345,-19.032941092764062,qf,-76
12,235,220,25.0,12.0,12.0,0.0,5168.0,1022.0,2840.0,1800.0,38.0,14.0,82.51596465886756,72.35078280522892,10.165181853638648,29.0,13.0,11.0,0.0,5474.0,1294.0,2760.0,2200.0,69.0,10.0,88.87172391478828,61.95171567551146,26.92000823927681,qm,15
13,255,235,20.0,15.0,9.0,0.0,5363.0,1467.0,3060.0,1900.0,13.0,8.333333333333334,92.94896483506976,71.20949438946731,21.739470445602453,19.0,7.0,17.0,0.0,4637.0,905.0,2600.0,1550.0,87.0,17.666666666666668,65.7109285469468,87.1551851689557,-21.44425662200889,qm,20
14,205,230,27.0,13.0,11.0,0.0,5426.0,1503.0,2880.0,1900.0,81.0,9.333333333333334,77.39391051059104,51.52293418312871,25.870976327462326,13.0,15.0,9.0,0.0,4942.0,829.0,2620.0,1700.0,72.0,9.0,71.91211958579414,74.39311838990176,-2.480998804107608,qm,-25
15,95,252,22.0,10.0,14.0,0.0,4306.0,934.0,2360.0,1500.0,26.0,16.0,48.179605881324534,87.76648246354371,-39.58687658221917,16.0,13.0,11.0,0.0,5134.0,1265.0,2620.0,1750.0,344.0,10.0,73.82354093180093,49.56039720953883,24.2631437222621,qm,-157
16,250,115,28.0,11.0,13.0,0.0,5173.0,1309.0,2940.0,1850.0,8.0,13.333333333333334,76.62621144147376,67.93005905914475,8.696152382329002,12.0,8.0,16.0,0.0,4243.0,1099.0,2500.0,1300.0,63.0,19.0,42.3527921991022,79.50891445859367,-37.156122259491475,qm,135
17,260,150,25.0,15.0,9.0,0.0,5429.0,1285.0,2800.0,1950.0,149.0,6.666666666666667,90.16877423686891,56.27510459399036,33.893669642878564,7.0,11.0,13.0,0.0,4729.0,800.0,2480.0,1800.0,89.0,16.333333333333332,62.82653898752733,66.33920752091173,-3.5126685333843994,qm,110
