,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,227,236,36.0,16.0,7.0,1.0,4924.0,903.0,2580.0,1950.0,79.0,9.666666666666666,92.94823848013282,37.80620193683865,55.142036543294154,36.0,16.0,7.0,1.0,4924.0,903.0,2580.0,1950.0,79.0,9.666666666666666,92.94823848013282,37.80620193683865,55.142036543294154,f,-9
1,223,210,23.0,16.0,7.0,1.0,4757.0,898.0,2580.0,1750.0,67.0,11.333333333333334,93.31364085115565,48.87064033822304,44.443000512932606,23.0,16.0,7.0,1.0,4757.0,898.0,2580.0,1750.0,67.0,11.333333333333334,93.31364085115565,48.87064033822304,44.443000512932606,f,13
2,283,240,23.0,16.0,7.0,1.0,4757.0,898.0,2580.0,1750.0,67.0,11.333333333333334,93.31364085115565,48.87064033822304,44.443000512932606,23.0,16.0,7.0,1.0,4757.0,898.0,2580.0,1750.0,67.0,11.333333333333334,93.31364085115565,48.87064033822304,44.443000512932606,f,43
3,56,266,31.0,13.0,11.0,0.0,3618.0,763.0,2160.0,1050.0,28.0,31.666666666666668,42.64868776667063,65.34101938582565,-22.692331619155,31.0,13.0,11.0,0.0,3618.0,763.0,2160.0,1050.0,28.0,31.666666666666668,42.64868776667063,65.34101938582565,-22.692331619155,qf,-210
4,192,316,31.0,13.0,11.0,0.0,3618.0,763.0,2160.0,1050.0,28.0,31.666666666666668,42.64868776667063,65.34101938582565,-22.692331619155,31.0,13.0,11.0,0.0,3618.0,763.0,2160.0,1050.0,28.0,31.666666666666668,42.64868776667063,65.34101938582565,-22.692331619155,qf,-124
5,273,255,9.0,14.0,10.0,0.0,3836.0,843.0,2020.0,1450.0,46.0,27.333333333333332,47.41769333798813,45.71216231966545,1.705531018322669,9.0,14.0,10.0,0.0,3836.0,843.0,2020.0,1450.0,46.0,27.333333333333332,47.41769333798813,45.71216231966545,1.705531018322669,qf,18
6,169,280,9.0,14.0,10.0,0.0,3836.0,843.0,2020.0,1450.0,46.0,27.333333333333332,47.41769333798813,45.71216231966545,1.705531018322669,9.0,14.0,10.0,0.0,3836.0,843.0,2020.0,1450.0,46.0,27.333333333333332,47.41769333798813,45.71216231966545,1.705531018322669,qf,-111
7,168,255,9.0,14.0,10.0,0.0,3836.0,843.0,2020.0,1450.0,46.0,27.333333333333332,47.41769333798813,45.71216231966545,1.705531018322669,9.0,14.0,10.0,0.0,3836.0,843.0,2020.0,1450.0,46.0,27.333333333333332,47.41769333798813,45.71216231966545,1.705531018322669,qf,-87
8,274,285,29.0,15.0,9.0,0.0,4526.0,1064.0,2460.0,1700.0,26.0,18.333333333333332,85.79014965466156,46.26713000889811,39.52301964576345,29.0,15.0,9.0,0.0,4526.0,1064.0,2460.0,1700.0,26.0,18.333333333333332,85.79014965466156,46.26713000889811,39.52301964576345,qf,-11
9,215,325,29.0,15.0,9.0,0.0,4526.0,1064.0,2460.0,1700.0,26.0,18.333333333333332,85.79014965466156,46.26713000889811,39.52301964576345,29.0,15.0,9.0,0.0,4526.0,1064.0,2460.0,1700.0,26.0,18.333333333333332,85.79014965466156,46.26713000889811,39.52301964576345,qf,-110
10,305,305,29.0,15.0,7.0,2.0,4503.0,679.0,2400.0,1550.0,13.0,16.0,87.01680469525917,63.67145048389182,23.34535421136735,29.0,15.0,7.0,2.0,4503.0,679.0,2400.0,1550.0,13.0,16.0,87.01680469525917,63.67145048389182,23.34535421136735,qf,0
11,305,213,29.0,15.0,7.0,2.0,4503.0,679.0,2400.0,1550.0,13.0,16.0,87.01680469525917,63.67145048389182,23.34535421136735,29.0,15.0,7.0,2.0,4503.0,679.0,2400.0,1550.0,13.0,16.0,87.01680469525917,63.67145048389182,23.34535421136735,qf,92
12,255,312,29.0,15.0,7.0,2.0,4503.0,679.0,2400.0,1550.0,13.0,16.0,87.01680469525917,63.67145048389182,23.34535421136735,29.0,15.0,7.0,2.0,4503.0,679.0,2400.0,1550.0,13.0,16.0,87.01680469525917,63.67145048389182,23.34535421136735,qf,-57
13,306,310,29.0,15.0,7.0,2.0,4503.0,679.0,2400.0,1550.0,13.0,16.0,87.01680469525917,63.67145048389182,23.34535421136735,29.0,15.0,7.0,2.0,4503.0,679.0,2400.0,1550.0,13.0,16.0,87.01680469525917,63.67145048389182,23.34535421136735,qf,-4
14,94,91,42.0,14.0,10.0,0.0,3995.0,540.0,2080.0,1500.0,125.0,26.0,63.91831640911111,49.902730552466856,14.01558585664426,42.0,14.0,10.0,0.0,3995.0,540.0,2080.0,1500.0,125.0,26.0,63.91831640911111,49.902730552466856,14.01558585664426,qm,3
15,195,85,12.0,13.0,11.0,0.0,3844.0,529.0,1860.0,1550.0,39.0,31.666666666666668,59.63720173355699,39.15076068336866,20.48644105018833,12.0,13.0,11.0,0.0,3844.0,529.0,1860.0,1550.0,39.0,31.666666666666668,59.63720173355699,39.15076068336866,20.48644105018833,qm,110
16,45,235,17.0,5.0,19.0,0.0,2661.0,585.0,1760.0,550.0,16.0,53.333333333333336,16.924213801118057,80.90187571012983,-63.97766190901178,17.0,5.0,19.0,0.0,2661.0,585.0,1760.0,550.0,16.0,53.333333333333336,16.924213801118057,80.90187571012983,-63.97766190901178,qm,-190
17,169,195,38.0,15.0,9.0,0.0,4625.0,900.0,2380.0,1750.0,75.0,17.0,73.1125386536424,56.560646061724775,16.551892591917632,38.0,15.0,9.0,0.0,4625.0,900.0,2380.0,1750.0,75.0,17.0,73.1125386536424,56.560646061724775,16.551892591917632,qm,-26
18,280,95,33.0,14.0,10.0,0.0,4440.0,815.0,2260.0,1750.0,15.0,21.0,76.59502424455562,47.54933581419768,29.045688430357938,33.0,14.0,10.0,0.0,4440.0,815.0,2260.0,1750.0,15.0,21.0,76.59502424455562,47.54933581419768,29.045688430357938,qm,185
19,94,288,40.0,6.0,18.0,0.0,3175.0,571.0,2060.0,750.0,50.0,52.333333333333336,43.345309812138815,83.02930464862159,-39.68399483648278,40.0,6.0,18.0,0.0,3175.0,571.0,2060.0,750.0,50.0,52.333333333333336,43.345309812138815,83.02930464862159,-39.68399483648278,qm,-194
20,165,163,14.0,14.0,9.0,1.0,4440.0,1044.0,2440.0,1500.0,35.0,24.333333333333332,75.4243438803618,44.932313093605394,30.4920307867564,14.0,14.0,9.0,1.0,4440.0,1044.0,2440.0,1500.0,35.0,24.333333333333332,75.4243438803618,44.932313093605394,30.4920307867564,qm,2
21,45,110,20.0,11.0,13.0,0.0,3650.0,725.0,2240.0,1100.0,20.0,37.666666666666664,32.39702513400146,47.98744546638212,-15.59042033238066,20.0,11.0,13.0,0.0,3650.0,725.0,2240.0,1100.0,20.0,37.666666666666664,32.39702513400146,47.98744546638212,-15.59042033238066,qm,-65
22,140,52,23.0,14.0,10.0,0.0,3954.0,746.0,2120.0,1450.0,19.0,25.333333333333332,54.25975947309348,52.59796871561793,1.6617907574755435,23.0,14.0,10.0,0.0,3954.0,746.0,2120.0,1450.0,19.0,25.333333333333332,54.25975947309348,52.59796871561793,1.6617907574755435,qm,88
23,91,230,26.0,14.0,10.0,0.0,4127.0,874.0,2340.0,1200.0,57.0,24.333333333333332,56.544678510189975,62.43197908230447,-5.887300572114493,26.0,14.0,10.0,0.0,4127.0,874.0,2340.0,1200.0,57.0,24.333333333333332,56.544678510189975,62.43197908230447,-5.887300572114493,qm,-139
24,50,145,7.0,10.0,14.0,0.0,2933.0,488.0,1880.0,650.0,23.0,38.0,13.177543810109361,47.99356055415046,-34.8160167440411,7.0,10.0,14.0,0.0,2933.0,488.0,1880.0,650.0,23.0,38.0,13.177543810109361,47.99356055415046,-34.8160167440411,qm,-95
25,85,227,13.0,12.0,12.0,0.0,3914.0,432.0,2180.0,1350.0,19.0,33.0,61.769669462677335,70.41736624669983,-8.647696784022505,13.0,12.0,12.0,0.0,3914.0,432.0,2180.0,1350.0,19.0,33.0,61.769669462677335,70.41736624669983,-8.647696784022505,qm,-142
26,206,104,20.0,14.0,9.0,1.0,4285.0,855.0,2460.0,1450.0,10.0,27.333333333333332,78.52222496030332,45.37486147126531,33.147363489038014,20.0,14.0,9.0,1.0,4285.0,855.0,2460.0,1450.0,10.0,27.333333333333332,78.52222496030332,45.37486147126531,33.147363489038014,qm,102
27,132,197,36.0,11.0,13.0,0.0,4030.0,653.0,2320.0,1350.0,40.0,29.666666666666668,70.23661464661062,48.495765079699964,21.74084956691065,36.0,11.0,13.0,0.0,4030.0,653.0,2320.0,1350.0,40.0,29.666666666666668,70.23661464661062,48.495765079699964,21.74084956691065,qm,-65
28,47,306,28.0,11.0,13.0,0.0,3392.0,770.0,2180.0,900.0,37.0,39.666666666666664,26.750469519526064,69.29387316643765,-42.54340364691158,28.0,11.0,13.0,0.0,3392.0,770.0,2180.0,900.0,37.0,39.666666666666664,26.750469519526064,69.29387316643765,-42.54340364691158,qm,-259
29,190,185,29.0,14.0,9.0,1.0,4206.0,801.0,2320.0,1300.0,26.0,24.0,73.782033587714,61.302800712873,12.47923287484099,29.0,14.0,9.0,1.0,4206.0,801.0,2320.0,1300.0,26.0,24.0,73.782033587714,61.302800712873,12.47923287484099,qm,5
