,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,366,402,36.0,18.0,12.0,0.0,9283.0,2087.0,4940.0,3650.0,58.0,17.0,116.22349826792406,100.40492212188275,15.81857614604128,22.0,20.0,10.0,0.0,9397.0,1830.0,4760.0,3800.0,187.0,11.333333333333334,118.93954677489899,107.1047923830036,11.834754391895382,f,-36
1,423,475,36.0,18.0,12.0,0.0,9283.0,2087.0,4940.0,3650.0,58.0,17.0,116.22349826792406,100.40492212188275,15.81857614604128,22.0,20.0,10.0,0.0,9397.0,1830.0,4760.0,3800.0,187.0,11.333333333333334,118.93954677489899,107.1047923830036,11.834754391895382,f,-52
2,473,397,60.0,19.0,11.0,0.0,9040.0,1957.0,4560.0,3700.0,235.0,16.666666666666668,106.09455983578984,89.31317819402575,16.78138164176409,63.0,22.0,8.0,0.0,9406.0,1989.0,4640.0,3750.0,406.0,16.333333333333332,114.06926891965351,79.16010571274619,34.90916320690732,qf,76
3,211,413,60.0,19.0,11.0,0.0,9040.0,1957.0,4560.0,3700.0,235.0,16.666666666666668,106.09455983578984,89.31317819402575,16.78138164176409,48.0,22.0,7.0,0.0,9320.0,1864.0,4680.0,3650.0,410.0,8.0,118.68407727122845,86.66021845694985,32.023858814278604,qf,-202
4,308,469,60.0,19.0,11.0,0.0,9040.0,1957.0,4560.0,3700.0,235.0,16.666666666666668,106.09455983578984,89.31317819402575,16.78138164176409,48.0,22.0,7.0,0.0,9320.0,1864.0,4680.0,3650.0,410.0,8.0,118.68407727122845,86.66021845694985,32.023858814278604,qf,-161
5,467,466,23.0,16.0,14.0,0.0,9454.0,1913.0,4420.0,3950.0,449.0,25.333333333333332,118.82774906783068,106.8677810805993,11.959967987231371,22.0,20.0,10.0,0.0,9397.0,1830.0,4760.0,3800.0,187.0,11.333333333333334,118.93954677489899,107.1047923830036,11.834754391895382,qf,1
6,318,473,23.0,16.0,14.0,0.0,9454.0,1913.0,4420.0,3950.0,449.0,25.333333333333332,118.82774906783068,106.8677810805993,11.959967987231371,22.0,20.0,10.0,0.0,9397.0,1830.0,4760.0,3800.0,187.0,11.333333333333334,118.93954677489899,107.1047923830036,11.834754391895382,qf,-155
7,280,489,23.0,16.0,14.0,0.0,9454.0,1913.0,4420.0,3950.0,449.0,25.333333333333332,118.82774906783068,106.8677810805993,11.959967987231371,22.0,20.0,10.0,0.0,9397.0,1830.0,4760.0,3800.0,187.0,11.333333333333334,118.93954677489899,107.1047923830036,11.834754391895382,qf,-209
8,445,483,35.0,18.0,12.0,0.0,9290.0,1875.0,4680.0,3700.0,225.0,16.0,114.52567912274885,95.48960372181494,19.036075400933907,52.0,18.0,12.0,0.0,9415.0,2234.0,4740.0,3700.0,420.0,17.333333333333332,115.66231441183504,99.35386842579318,16.30844598604187,qf,-38
9,451,317,29.0,16.0,14.0,0.0,9192.0,2066.0,4880.0,3500.0,152.0,19.666666666666668,109.24373382529207,91.60257482338335,17.641159001908747,52.0,18.0,12.0,0.0,9415.0,2234.0,4740.0,3700.0,420.0,17.333333333333332,115.66231441183504,99.35386842579318,16.30844598604187,qf,134
