,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,379,12.0,17.0,13.0,0.0,6293.0,762.0,3080.0,2200.0,78.0,17.0,82.7474023026045,60.72131849944964,22.026083803154858,35.0,21.0,9.0,0.0,6685.0,1214.0,3280.0,2300.0,580.0,9.333333333333334,104.75605693028699,52.64262474550296,52.11343218478402,f,-124
1,155,330,12.0,17.0,13.0,0.0,6293.0,762.0,3080.0,2200.0,78.0,17.0,82.7474023026045,60.72131849944964,22.026083803154858,35.0,21.0,9.0,0.0,6685.0,1214.0,3280.0,2300.0,580.0,9.333333333333334,104.75605693028699,52.64262474550296,52.11343218478402,f,-175
2,195,373,9.0,15.0,15.0,0.0,5366.0,958.0,2780.0,1900.0,101.0,19.666666666666668,58.82499553070792,59.529597350970654,-0.7046018202627261,35.0,21.0,9.0,0.0,6685.0,1214.0,3280.0,2300.0,580.0,9.333333333333334,104.75605693028699,52.64262474550296,52.11343218478402,qf,-178
3,302,350,9.0,15.0,15.0,0.0,5366.0,958.0,2780.0,1900.0,101.0,19.666666666666668,58.82499553070792,59.529597350970654,-0.7046018202627261,35.0,21.0,9.0,0.0,6685.0,1214.0,3280.0,2300.0,580.0,9.333333333333334,104.75605693028699,52.64262474550296,52.11343218478402,qf,-48
4,235,257,17.0,17.0,13.0,0.0,6126.0,990.0,3120.0,2400.0,11.0,17.0,81.10366010414326,69.31234396641266,11.791316137730604,20.0,17.0,11.0,2.0,5824.0,993.0,3060.0,2000.0,164.0,11.666666666666666,72.42585476955188,45.973562012926664,26.45229275662521,qf,-22
5,210,253,17.0,17.0,13.0,0.0,6126.0,990.0,3120.0,2400.0,11.0,17.0,81.10366010414326,69.31234396641266,11.791316137730604,20.0,17.0,11.0,2.0,5824.0,993.0,3060.0,2000.0,164.0,11.666666666666666,72.42585476955188,45.973562012926664,26.45229275662521,qf,-43
6,140,305,14.0,16.0,14.0,0.0,5787.0,798.0,2980.0,1950.0,122.0,18.666666666666668,70.59822698455031,70.78746547645824,-0.18923849190793382,12.0,17.0,13.0,0.0,6293.0,762.0,3080.0,2200.0,78.0,17.0,82.7474023026045,60.72131849944964,22.026083803154858,qf,-165
7,145,205,14.0,16.0,14.0,0.0,5787.0,798.0,2980.0,1950.0,122.0,18.666666666666668,70.59822698455031,70.78746547645824,-0.18923849190793382,12.0,17.0,13.0,0.0,6293.0,762.0,3080.0,2200.0,78.0,17.0,82.7474023026045,60.72131849944964,22.026083803154858,qf,-60
8,213,285,30.0,15.0,15.0,0.0,5591.0,720.0,2840.0,2100.0,21.0,24.666666666666668,72.51979684040298,60.365382626688415,12.154414213714565,19.0,20.0,9.0,1.0,6350.0,727.0,3260.0,2500.0,90.0,11.0,89.71230217525478,36.9829886902449,52.72931348500989,qf,-72
9,255,305,30.0,15.0,15.0,0.0,5591.0,720.0,2840.0,2100.0,21.0,24.666666666666668,72.51979684040298,60.365382626688415,12.154414213714565,19.0,20.0,9.0,1.0,6350.0,727.0,3260.0,2500.0,90.0,11.0,89.71230217525478,36.9829886902449,52.72931348500989,qf,-50
10,240,160,16.0,14.0,16.0,0.0,6202.0,717.0,2840.0,2400.0,77.0,24.333333333333332,87.2177504433193,64.37571836700322,22.842032076316105,18.0,16.0,13.0,1.0,5670.0,1200.0,2940.0,2000.0,140.0,13.333333333333334,65.01497072821803,54.83994272465327,10.175028003564753,qm,80
11,195,240,37.0,16.0,14.0,0.0,5654.0,882.0,2640.0,1900.0,634.0,18.0,75.97762476652055,51.404060707734665,24.573564058785877,29.0,18.0,12.0,0.0,6026.0,890.0,2960.0,2350.0,61.0,17.666666666666668,82.49000566724776,64.89552482386075,17.594480843387,qm,-45
12,135,155,18.0,15.0,14.0,1.0,5141.0,617.0,2960.0,1500.0,76.0,21.333333333333332,49.59654803124212,53.77970524486691,-4.1831572136247885,24.0,16.0,13.0,1.0,5312.0,1031.0,2940.0,1800.0,82.0,19.0,59.25259645522331,65.7487013255584,-6.496104870335088,qm,-20
13,165,255,7.0,11.0,19.0,0.0,5228.0,690.0,2700.0,1850.0,68.0,30.666666666666668,48.6091875695302,70.93256084780243,-22.323373278272232,21.0,16.0,13.0,1.0,5416.0,650.0,2780.0,1800.0,21.0,19.0,70.87902028164837,56.81493012366965,14.064090157978725,qm,-90
