,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,265,231,38.0,23.0,9.0,1.0,6367.0,830.0,3100.0,2250.0,52.0,8.666666666666666,79.42551130265262,37.74981177239287,41.67569953025975,31.0,19.0,14.0,0.0,5774.0,772.0,2840.0,1850.0,59.0,15.333333333333334,66.72184960307452,45.356555843605385,21.365293759469125,f,34
1,195,284,38.0,23.0,9.0,1.0,6367.0,830.0,3100.0,2250.0,52.0,8.666666666666666,79.42551130265262,37.74981177239287,41.67569953025975,31.0,19.0,14.0,0.0,5774.0,772.0,2840.0,1850.0,59.0,15.333333333333334,66.72184960307452,45.356555843605385,21.365293759469125,f,-89
2,220,241,38.0,23.0,9.0,1.0,6367.0,830.0,3100.0,2250.0,52.0,8.666666666666666,79.42551130265262,37.74981177239287,41.67569953025975,31.0,19.0,14.0,0.0,5774.0,772.0,2840.0,1850.0,59.0,15.333333333333334,66.72184960307452,45.356555843605385,21.365293759469125,f,-21
3,260,180,31.0,19.0,14.0,0.0,5774.0,772.0,2840.0,1850.0,59.0,15.333333333333334,66.72184960307452,45.356555843605385,21.365293759469125,17.0,23.0,10.0,0.0,6308.0,1193.0,3140.0,2200.0,78.0,10.0,78.49180932003138,49.079405167406236,29.412404152625157,qf,80
4,159,495,31.0,19.0,14.0,0.0,5774.0,772.0,2840.0,1850.0,59.0,15.333333333333334,66.72184960307452,45.356555843605385,21.365293759469125,17.0,23.0,10.0,0.0,6308.0,1193.0,3140.0,2200.0,78.0,10.0,78.49180932003138,49.079405167406236,29.412404152625157,qf,-336
5,315,220,31.0,19.0,14.0,0.0,5774.0,772.0,2840.0,1850.0,59.0,15.333333333333334,66.72184960307452,45.356555843605385,21.365293759469125,17.0,23.0,10.0,0.0,6308.0,1193.0,3140.0,2200.0,78.0,10.0,78.49180932003138,49.079405167406236,29.412404152625157,qf,95
6,240,255,16.0,18.0,15.0,0.0,5972.0,838.0,3020.0,2250.0,42.0,19.0,74.26102892377936,47.144509216045,27.116519707734366,27.0,14.0,18.0,1.0,6117.0,1063.0,3220.0,2000.0,167.0,27.666666666666668,83.02716515890569,56.67182908326629,26.3553360756394,qf,-15
7,290,260,16.0,18.0,15.0,0.0,5972.0,838.0,3020.0,2250.0,42.0,19.0,74.26102892377936,47.144509216045,27.116519707734366,27.0,14.0,18.0,1.0,6117.0,1063.0,3220.0,2000.0,167.0,27.666666666666668,83.02716515890569,56.67182908326629,26.3553360756394,qf,30
8,245,329,16.0,18.0,15.0,0.0,5972.0,838.0,3020.0,2250.0,42.0,19.0,74.26102892377936,47.144509216045,27.116519707734366,27.0,14.0,18.0,1.0,6117.0,1063.0,3220.0,2000.0,167.0,27.666666666666668,83.02716515890569,56.67182908326629,26.3553360756394,qf,-84
9,140,285,15.0,21.0,10.0,1.0,5818.0,794.0,2820.0,2150.0,18.0,10.666666666666666,73.20269643616315,35.227596084745,37.975100351418156,38.0,23.0,9.0,1.0,6367.0,830.0,3100.0,2250.0,52.0,8.666666666666666,79.42551130265262,37.74981177239287,41.67569953025975,qf,-145
10,145,260,15.0,21.0,10.0,1.0,5818.0,794.0,2820.0,2150.0,18.0,10.666666666666666,73.20269643616315,35.227596084745,37.975100351418156,38.0,23.0,9.0,1.0,6367.0,830.0,3100.0,2250.0,52.0,8.666666666666666,79.42551130265262,37.74981177239287,41.67569953025975,qf,-115
11,210,290,41.0,18.0,15.0,0.0,6077.0,894.0,2960.0,2050.0,97.0,18.0,70.92680066650924,64.14001755138743,6.786783115121795,38.0,20.0,13.0,0.0,6107.0,1110.0,3140.0,1900.0,242.0,15.333333333333334,85.5998906903777,50.653624873292735,34.946265817084964,qf,-80
