,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,255,310,8.0,21.0,8.0,1.0,6713.0,1263.0,3480.0,2400.0,8.0,8.666666666666666,95.3148911453344,42.40144459676127,52.91344654857313,25.0,18.0,11.0,1.0,6835.0,1481.0,3600.0,2500.0,25.0,14.0,109.45136399731673,51.87297115104044,57.5783928462763,f,-55
1,402,286,8.0,21.0,8.0,1.0,6713.0,1263.0,3480.0,2400.0,8.0,8.666666666666666,95.3148911453344,42.40144459676127,52.91344654857313,25.0,18.0,11.0,1.0,6835.0,1481.0,3600.0,2500.0,25.0,14.0,109.45136399731673,51.87297115104044,57.5783928462763,f,116
2,260,280,8.0,21.0,8.0,1.0,6713.0,1263.0,3480.0,2400.0,8.0,8.666666666666666,95.3148911453344,42.40144459676127,52.91344654857313,12.0,18.0,10.0,2.0,6160.0,1324.0,3380.0,2000.0,20.0,13.666666666666666,74.1231025321956,33.93748922830276,40.18561330389283,f,-20
3,155,309,21.0,19.0,9.0,2.0,6441.0,1195.0,2980.0,2600.0,11.0,11.0,77.84156253048876,60.401865524872676,17.439697005616086,25.0,18.0,11.0,1.0,6835.0,1481.0,3600.0,2500.0,25.0,14.0,109.45136399731673,51.87297115104044,57.5783928462763,qf,-154
4,195,306,21.0,19.0,9.0,2.0,6441.0,1195.0,2980.0,2600.0,11.0,11.0,77.84156253048876,60.401865524872676,17.439697005616086,25.0,18.0,11.0,1.0,6835.0,1481.0,3600.0,2500.0,25.0,14.0,109.45136399731673,51.87297115104044,57.5783928462763,qf,-111
5,255,205,23.0,17.0,12.0,1.0,6231.0,1247.0,3120.0,2500.0,6.0,18.0,88.29626917823397,78.3442450144563,9.952024163777672,15.0,19.0,11.0,0.0,6491.0,1236.0,3200.0,2500.0,21.0,13.666666666666666,92.79381708265754,57.211013968832425,35.58280311382512,qf,50
6,300,305,23.0,17.0,12.0,1.0,6231.0,1247.0,3120.0,2500.0,6.0,18.0,88.29626917823397,78.3442450144563,9.952024163777672,15.0,19.0,11.0,0.0,6491.0,1236.0,3200.0,2500.0,21.0,13.666666666666666,92.79381708265754,57.211013968832425,35.58280311382512,qf,-5
7,260,236,23.0,17.0,12.0,1.0,6231.0,1247.0,3120.0,2500.0,6.0,18.0,88.29626917823397,78.3442450144563,9.952024163777672,15.0,19.0,11.0,0.0,6491.0,1236.0,3200.0,2500.0,21.0,13.666666666666666,92.79381708265754,57.211013968832425,35.58280311382512,qf,24
8,300,271,10.0,19.0,10.0,0.0,6216.0,1290.0,3140.0,2300.0,11.0,13.0,86.11209119244255,72.84347051321006,13.268620679232479,12.0,17.0,13.0,0.0,6405.0,1325.0,3380.0,2300.0,35.0,18.666666666666668,89.0837886403422,61.106519748057316,27.97726889228488,qf,29
9,405,323,10.0,19.0,10.0,0.0,6216.0,1290.0,3140.0,2300.0,11.0,13.0,86.11209119244255,72.84347051321006,13.268620679232479,12.0,17.0,13.0,0.0,6405.0,1325.0,3380.0,2300.0,35.0,18.666666666666668,89.0837886403422,61.106519748057316,27.97726889228488,qf,82
