,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,491,535,40.0,14.0,10.0,0.0,7884.0,1884.0,3640.0,3200.0,549.0,12.0,129.19763375963802,106.73148951223084,22.46614424740717,40.0,14.0,10.0,0.0,7884.0,1884.0,3640.0,3200.0,549.0,12.0,129.19763375963802,106.73148951223084,22.46614424740717,f,-44
1,363,527,40.0,14.0,10.0,0.0,7884.0,1884.0,3640.0,3200.0,549.0,12.0,129.19763375963802,106.73148951223084,22.46614424740717,40.0,14.0,10.0,0.0,7884.0,1884.0,3640.0,3200.0,549.0,12.0,129.19763375963802,106.73148951223084,22.46614424740717,f,-164
2,260,548,10.0,10.0,14.0,0.0,7245.0,1692.0,3700.0,2550.0,380.0,15.333333333333334,84.30706131428296,118.37319022232414,-34.0661289080412,10.0,10.0,14.0,0.0,7245.0,1692.0,3700.0,2550.0,380.0,15.333333333333334,84.30706131428296,118.37319022232414,-34.0661289080412,qf,-288
3,310,502,10.0,10.0,14.0,0.0,7245.0,1692.0,3700.0,2550.0,380.0,15.333333333333334,84.30706131428296,118.37319022232414,-34.0661289080412,10.0,10.0,14.0,0.0,7245.0,1692.0,3700.0,2550.0,380.0,15.333333333333334,84.30706131428296,118.37319022232414,-34.0661289080412,qf,-192
4,450,255,31.0,12.0,12.0,0.0,7423.0,1828.0,3860.0,2850.0,158.0,15.0,102.2426439280378,116.93095839281825,-14.688314464780442,31.0,12.0,12.0,0.0,7423.0,1828.0,3860.0,2850.0,158.0,15.0,102.2426439280378,116.93095839281825,-14.688314464780442,qf,195
5,445,255,31.0,12.0,12.0,0.0,7423.0,1828.0,3860.0,2850.0,158.0,15.0,102.2426439280378,116.93095839281825,-14.688314464780442,31.0,12.0,12.0,0.0,7423.0,1828.0,3860.0,2850.0,158.0,15.0,102.2426439280378,116.93095839281825,-14.688314464780442,qf,190
6,445,509,22.0,13.0,11.0,0.0,7362.0,1694.0,3760.0,2900.0,232.0,12.666666666666666,108.82101091239862,92.54915245546594,16.271858456932687,22.0,13.0,11.0,0.0,7362.0,1694.0,3760.0,2900.0,232.0,12.666666666666666,108.82101091239862,92.54915245546594,16.271858456932687,qf,-64
7,397,505,22.0,13.0,11.0,0.0,7362.0,1694.0,3760.0,2900.0,232.0,12.666666666666666,108.82101091239862,92.54915245546594,16.271858456932687,22.0,13.0,11.0,0.0,7362.0,1694.0,3760.0,2900.0,232.0,12.666666666666666,108.82101091239862,92.54915245546594,16.271858456932687,qf,-108
8,316,395,5.0,11.0,13.0,0.0,7241.0,1639.0,3600.0,2950.0,251.0,17.0,99.78139041492581,105.58123741325562,-5.799846998329808,5.0,11.0,13.0,0.0,7241.0,1639.0,3600.0,2950.0,251.0,17.0,99.78139041492581,105.58123741325562,-5.799846998329808,qf,-79
9,315,396,5.0,11.0,13.0,0.0,7241.0,1639.0,3600.0,2950.0,251.0,17.0,99.78139041492581,105.58123741325562,-5.799846998329808,5.0,11.0,13.0,0.0,7241.0,1639.0,3600.0,2950.0,251.0,17.0,99.78139041492581,105.58123741325562,-5.799846998329808,qf,-81
10,295,402,13.0,11.0,13.0,0.0,7252.0,1631.0,3880.0,2500.0,202.0,14.0,97.29389036840138,116.28778507030363,-18.993894701902246,13.0,11.0,13.0,0.0,7252.0,1631.0,3880.0,2500.0,202.0,14.0,97.29389036840138,116.28778507030363,-18.993894701902246,qm,-107
11,205,373,9.0,8.0,16.0,0.0,6775.0,1624.0,3340.0,2850.0,160.0,22.666666666666668,88.47319008942468,117.1780629922509,-28.704872902826242,9.0,8.0,16.0,0.0,6775.0,1624.0,3340.0,2850.0,160.0,22.666666666666668,88.47319008942468,117.1780629922509,-28.704872902826242,qm,-168
12,274,185,17.0,11.0,13.0,0.0,6778.0,1604.0,3340.0,2850.0,163.0,23.333333333333332,84.1997031166329,81.88960852380853,2.310094592824368,17.0,11.0,13.0,0.0,6778.0,1604.0,3340.0,2850.0,163.0,23.333333333333332,84.1997031166329,81.88960852380853,2.310094592824368,qm,89
13,320,325,18.0,13.0,11.0,0.0,7790.0,1852.0,3920.0,3050.0,275.0,8.666666666666666,115.18554332765393,108.26254312496165,6.923000202692269,18.0,13.0,11.0,0.0,7790.0,1852.0,3920.0,3050.0,275.0,8.666666666666666,115.18554332765393,108.26254312496165,6.923000202692269,qm,-5
14,313,205,19.0,11.0,13.0,0.0,7364.0,1459.0,3500.0,2850.0,369.0,17.333333333333332,99.22208937907855,109.07401862083343,-9.851929241754869,19.0,11.0,13.0,0.0,7364.0,1459.0,3500.0,2850.0,369.0,17.333333333333332,99.22208937907855,109.07401862083343,-9.851929241754869,qm,108
