,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,260,312,22.0,23.0,10.0,0.0,7405.0,1604.0,3940.0,2600.0,20.0,9.333333333333334,82.52018129892724,57.88191083599482,24.63827046293243,15.0,21.0,12.0,0.0,8489.0,1529.0,4360.0,2850.0,164.0,12.333333333333334,102.32059420713905,73.03038475119327,29.29020945594579,f,-52
1,215,310,23.0,24.0,9.0,0.0,7601.0,1720.0,3820.0,2850.0,21.0,8.333333333333334,93.1005674274317,57.00479990886407,36.09576751856762,15.0,21.0,12.0,0.0,8489.0,1529.0,4360.0,2850.0,164.0,12.333333333333334,102.32059420713905,73.03038475119327,29.29020945594579,f,-95
2,333,315,15.0,18.0,15.0,0.0,7751.0,1126.0,3860.0,3300.0,26.0,18.0,93.64756106082747,78.40416466958335,15.243396391244119,15.0,21.0,12.0,0.0,8489.0,1529.0,4360.0,2850.0,164.0,12.333333333333334,102.32059420713905,73.03038475119327,29.29020945594579,qf,18
3,257,284,15.0,18.0,15.0,0.0,7751.0,1126.0,3860.0,3300.0,26.0,18.0,93.64756106082747,78.40416466958335,15.243396391244119,15.0,21.0,12.0,0.0,8489.0,1529.0,4360.0,2850.0,164.0,12.333333333333334,102.32059420713905,73.03038475119327,29.29020945594579,qf,-27
4,256,333,15.0,18.0,15.0,0.0,7751.0,1126.0,3860.0,3300.0,26.0,18.0,93.64756106082747,78.40416466958335,15.243396391244119,15.0,21.0,12.0,0.0,8489.0,1529.0,4360.0,2850.0,164.0,12.333333333333334,102.32059420713905,73.03038475119327,29.29020945594579,qf,-77
5,280,205,17.0,16.0,17.0,0.0,7260.0,1391.0,3820.0,2850.0,50.0,22.333333333333332,75.05428697506419,64.63755290348097,10.416734071583221,5.0,21.0,12.0,0.0,8057.0,1737.0,4180.0,3050.0,42.0,12.0,109.2158640813913,65.17071394603518,44.04515013535612,qf,75
6,260,205,17.0,16.0,17.0,0.0,7260.0,1391.0,3820.0,2850.0,50.0,22.333333333333332,75.05428697506419,64.63755290348097,10.416734071583221,5.0,21.0,12.0,0.0,8057.0,1737.0,4180.0,3050.0,42.0,12.0,109.2158640813913,65.17071394603518,44.04515013535612,qf,55
7,255,255,16.0,19.0,14.0,0.0,7827.0,1402.0,3800.0,3100.0,7.0,14.666666666666666,84.17979597663982,81.62213640588621,2.5576595707536285,18.0,19.0,14.0,0.0,7924.0,1566.0,4120.0,3100.0,39.0,14.666666666666666,98.99513193109728,66.82560967771934,32.16952225337794,qf,0
8,305,355,16.0,19.0,14.0,0.0,7827.0,1402.0,3800.0,3100.0,7.0,14.666666666666666,84.17979597663982,81.62213640588621,2.5576595707536285,18.0,19.0,14.0,0.0,7924.0,1566.0,4120.0,3100.0,39.0,14.666666666666666,98.99513193109728,66.82560967771934,32.16952225337794,qf,-50
9,305,305,16.0,19.0,14.0,0.0,7827.0,1402.0,3800.0,3100.0,7.0,14.666666666666666,84.17979597663982,81.62213640588621,2.5576595707536285,18.0,19.0,14.0,0.0,7924.0,1566.0,4120.0,3100.0,39.0,14.666666666666666,98.99513193109728,66.82560967771934,32.16952225337794,qf,0
10,310,305,16.0,19.0,14.0,0.0,7827.0,1402.0,3800.0,3100.0,7.0,14.666666666666666,84.17979597663982,81.62213640588621,2.5576595707536285,18.0,19.0,14.0,0.0,7924.0,1566.0,4120.0,3100.0,39.0,14.666666666666666,98.99513193109728,66.82560967771934,32.16952225337794,qf,5
11,255,330,23.0,18.0,15.0,0.0,8019.0,1494.0,4180.0,3000.0,44.0,16.0,98.25006349989019,83.22064560396366,15.029417895926528,22.0,23.0,10.0,0.0,7405.0,1604.0,3940.0,2600.0,20.0,9.333333333333334,82.52018129892724,57.88191083599482,24.63827046293243,qf,-75
12,295,305,23.0,18.0,15.0,0.0,8019.0,1494.0,4180.0,3000.0,44.0,16.0,98.25006349989019,83.22064560396366,15.029417895926528,22.0,23.0,10.0,0.0,7405.0,1604.0,3940.0,2600.0,20.0,9.333333333333334,82.52018129892724,57.88191083599482,24.63827046293243,qf,-10
13,135,293,17.0,10.0,23.0,0.0,6422.0,1027.0,3320.0,2500.0,12.0,32.333333333333336,56.66603132389681,96.67984957974899,-40.01381825585218,13.0,19.0,14.0,0.0,8105.0,1599.0,4120.0,3000.0,65.0,17.0,93.73264942560581,55.091438485065936,38.641210940539885,qm,-158
14,192,90,11.0,18.0,15.0,0.0,7483.0,1273.0,3760.0,3000.0,68.0,20.0,73.43617349402217,71.83191224609236,1.6042612479298224,25.0,12.0,21.0,0.0,6389.0,1159.0,3480.0,2300.0,14.0,31.666666666666668,48.45945640985705,61.3363907265325,-12.876934316675445,qm,102
15,255,279,11.0,18.0,15.0,0.0,6983.0,1678.0,4080.0,2250.0,38.0,17.333333333333332,69.02425565541924,65.8095280600187,3.2147275954005416,24.0,14.0,19.0,0.0,7823.0,1523.0,4020.0,2800.0,68.0,24.666666666666668,92.3160315505642,89.29966116414892,3.01637038641528,qm,-24
16,195,100,14.0,21.0,12.0,0.0,7833.0,1792.0,3960.0,3000.0,23.0,11.333333333333334,82.45962806922667,66.23459413918609,16.22503393004058,21.0,11.0,22.0,0.0,6054.0,929.0,3060.0,2400.0,4.0,33.0,46.874456884744255,80.10492023078031,-33.23046334603607,qm,95
