,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,341,183,8.0,20.0,13.0,0.0,8613.0,1978.0,4500.0,3200.0,228.0,12.0,110.25729400982914,71.23950216913151,39.01779184069762,8.0,20.0,13.0,0.0,8613.0,1978.0,4500.0,3200.0,228.0,12.0,110.25729400982914,71.23950216913151,39.01779184069762,f,158
1,244,283,8.0,20.0,13.0,0.0,8613.0,1978.0,4500.0,3200.0,228.0,12.0,110.25729400982914,71.23950216913151,39.01779184069762,8.0,20.0,13.0,0.0,8613.0,1978.0,4500.0,3200.0,228.0,12.0,110.25729400982914,71.23950216913151,39.01779184069762,f,-39
2,380,237,8.0,20.0,13.0,0.0,8613.0,1978.0,4500.0,3200.0,228.0,12.0,110.25729400982914,71.23950216913151,39.01779184069762,8.0,20.0,13.0,0.0,8613.0,1978.0,4500.0,3200.0,228.0,12.0,110.25729400982914,71.23950216913151,39.01779184069762,f,143
3,255,457,28.0,13.0,19.0,1.0,7379.0,1863.0,4420.0,2350.0,54.0,19.333333333333332,69.81861960862547,92.87238800181437,-23.053768393188893,28.0,13.0,19.0,1.0,7379.0,1863.0,4420.0,2350.0,54.0,19.333333333333332,69.81861960862547,92.87238800181437,-23.053768393188893,qf,-202
4,305,462,28.0,13.0,19.0,1.0,7379.0,1863.0,4420.0,2350.0,54.0,19.333333333333332,69.81861960862547,92.87238800181437,-23.053768393188893,28.0,13.0,19.0,1.0,7379.0,1863.0,4420.0,2350.0,54.0,19.333333333333332,69.81861960862547,92.87238800181437,-23.053768393188893,qf,-157
5,279,280,26.0,19.0,14.0,0.0,8053.0,1891.0,4500.0,2900.0,98.0,11.333333333333334,84.59686824608038,73.18258484583856,11.414283400241809,26.0,19.0,14.0,0.0,8053.0,1891.0,4500.0,2900.0,98.0,11.333333333333334,84.59686824608038,73.18258484583856,11.414283400241809,qf,-1
6,257,255,26.0,19.0,14.0,0.0,8053.0,1891.0,4500.0,2900.0,98.0,11.333333333333334,84.59686824608038,73.18258484583856,11.414283400241809,26.0,19.0,14.0,0.0,8053.0,1891.0,4500.0,2900.0,98.0,11.333333333333334,84.59686824608038,73.18258484583856,11.414283400241809,qf,2
7,447,255,26.0,19.0,14.0,0.0,8053.0,1891.0,4500.0,2900.0,98.0,11.333333333333334,84.59686824608038,73.18258484583856,11.414283400241809,26.0,19.0,14.0,0.0,8053.0,1891.0,4500.0,2900.0,98.0,11.333333333333334,84.59686824608038,73.18258484583856,11.414283400241809,qf,192
8,205,454,16.0,16.0,16.0,1.0,8240.0,1796.0,4340.0,3100.0,110.0,13.666666666666666,89.47084495019692,89.1737740890781,0.29707086111883996,16.0,16.0,16.0,1.0,8240.0,1796.0,4340.0,3100.0,110.0,13.666666666666666,89.47084495019692,89.1737740890781,0.29707086111883996,qf,-249
9,255,211,16.0,16.0,16.0,1.0,8240.0,1796.0,4340.0,3100.0,110.0,13.666666666666666,89.47084495019692,89.1737740890781,0.29707086111883996,16.0,16.0,16.0,1.0,8240.0,1796.0,4340.0,3100.0,110.0,13.666666666666666,89.47084495019692,89.1737740890781,0.29707086111883996,qf,44
10,305,448,16.0,16.0,16.0,1.0,8240.0,1796.0,4340.0,3100.0,110.0,13.666666666666666,89.47084495019692,89.1737740890781,0.29707086111883996,16.0,16.0,16.0,1.0,8240.0,1796.0,4340.0,3100.0,110.0,13.666666666666666,89.47084495019692,89.1737740890781,0.29707086111883996,qf,-143
11,255,406,18.0,18.0,14.0,1.0,8002.0,1732.0,4420.0,2850.0,67.0,12.0,86.13612797542339,74.18618857804647,11.949939397376918,18.0,18.0,14.0,1.0,8002.0,1732.0,4420.0,2850.0,67.0,12.0,86.13612797542339,74.18618857804647,11.949939397376918,qf,-151
