,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,330,270,25.0,18.0,12.0,0.0,6686.0,1275.0,3000.0,2700.0,251.0,12.333333333333334,96.50995776793866,52.317513615456726,44.192444152481926,25.0,18.0,12.0,0.0,6686.0,1275.0,3000.0,2700.0,251.0,12.333333333333334,96.50995776793866,52.317513615456726,44.192444152481926,f,60
1,319,279,25.0,18.0,12.0,0.0,6686.0,1275.0,3000.0,2700.0,251.0,12.333333333333334,96.50995776793866,52.317513615456726,44.192444152481926,25.0,18.0,12.0,0.0,6686.0,1275.0,3000.0,2700.0,251.0,12.333333333333334,96.50995776793866,52.317513615456726,44.192444152481926,f,40
2,190,337,16.0,16.0,14.0,0.0,5815.0,1016.0,2840.0,2250.0,40.0,21.333333333333332,68.26273957496578,39.63750350172229,28.625236073243485,16.0,16.0,14.0,0.0,5815.0,1016.0,2840.0,2250.0,40.0,21.333333333333332,68.26273957496578,39.63750350172229,28.625236073243485,qf,-147
3,190,308,16.0,16.0,14.0,0.0,5815.0,1016.0,2840.0,2250.0,40.0,21.333333333333332,68.26273957496578,39.63750350172229,28.625236073243485,16.0,16.0,14.0,0.0,5815.0,1016.0,2840.0,2250.0,40.0,21.333333333333332,68.26273957496578,39.63750350172229,28.625236073243485,qf,-118
4,220,311,18.0,20.0,10.0,0.0,6130.0,909.0,2600.0,2750.0,70.0,11.333333333333334,83.33400411119555,60.94926476824841,22.38473934294714,18.0,20.0,10.0,0.0,6130.0,909.0,2600.0,2750.0,70.0,11.333333333333334,83.33400411119555,60.94926476824841,22.38473934294714,qf,-91
5,148,238,18.0,20.0,10.0,0.0,6130.0,909.0,2600.0,2750.0,70.0,11.333333333333334,83.33400411119555,60.94926476824841,22.38473934294714,18.0,20.0,10.0,0.0,6130.0,909.0,2600.0,2750.0,70.0,11.333333333333334,83.33400411119555,60.94926476824841,22.38473934294714,qf,-90
6,165,306,24.0,17.0,12.0,1.0,6336.0,1183.0,2580.0,2800.0,71.0,17.333333333333332,79.7592302049788,72.56093854942496,7.1982916555538425,24.0,17.0,12.0,1.0,6336.0,1183.0,2580.0,2800.0,71.0,17.333333333333332,79.7592302049788,72.56093854942496,7.1982916555538425,qf,-141
7,215,265,24.0,17.0,12.0,1.0,6336.0,1183.0,2580.0,2800.0,71.0,17.333333333333332,79.7592302049788,72.56093854942496,7.1982916555538425,24.0,17.0,12.0,1.0,6336.0,1183.0,2580.0,2800.0,71.0,17.333333333333332,79.7592302049788,72.56093854942496,7.1982916555538425,qf,-50
8,185,354,12.0,19.0,11.0,0.0,6084.0,969.0,2700.0,2650.0,109.0,16.666666666666668,75.95792916820982,67.33781604823044,8.620113119979363,12.0,19.0,11.0,0.0,6084.0,969.0,2700.0,2650.0,109.0,16.666666666666668,75.95792916820982,67.33781604823044,8.620113119979363,qf,-169
9,145,328,12.0,19.0,11.0,0.0,6084.0,969.0,2700.0,2650.0,109.0,16.666666666666668,75.95792916820982,67.33781604823044,8.620113119979363,12.0,19.0,11.0,0.0,6084.0,969.0,2700.0,2650.0,109.0,16.666666666666668,75.95792916820982,67.33781604823044,8.620113119979363,qf,-183
