,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,221,280,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,f,-59
1,271,215,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,f,56
2,266,280,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,f,-14
3,265,190,33.0,12.0,12.0,5.0,4199.0,734.0,2220.0,1350.0,44.0,20.0,50.90290740368829,47.659501426077775,3.2434059776105166,33.0,12.0,12.0,5.0,4199.0,734.0,2220.0,1350.0,44.0,20.0,50.90290740368829,47.659501426077775,3.2434059776105166,qf,75
4,145,180,33.0,12.0,12.0,5.0,4199.0,734.0,2220.0,1350.0,44.0,20.0,50.90290740368829,47.659501426077775,3.2434059776105166,33.0,12.0,12.0,5.0,4199.0,734.0,2220.0,1350.0,44.0,20.0,50.90290740368829,47.659501426077775,3.2434059776105166,qf,-35
5,250,280,33.0,12.0,12.0,5.0,4199.0,734.0,2220.0,1350.0,44.0,20.0,50.90290740368829,47.659501426077775,3.2434059776105166,33.0,12.0,12.0,5.0,4199.0,734.0,2220.0,1350.0,44.0,20.0,50.90290740368829,47.659501426077775,3.2434059776105166,qf,-30
6,255,200,15.0,17.0,11.0,2.0,4471.0,926.0,2380.0,1500.0,21.0,13.0,53.260659081168576,47.36622340315796,5.894435678010619,15.0,17.0,11.0,2.0,4471.0,926.0,2380.0,1500.0,21.0,13.0,53.260659081168576,47.36622340315796,5.894435678010619,qf,55
7,165,285,15.0,17.0,11.0,2.0,4471.0,926.0,2380.0,1500.0,21.0,13.0,53.260659081168576,47.36622340315796,5.894435678010619,15.0,17.0,11.0,2.0,4471.0,926.0,2380.0,1500.0,21.0,13.0,53.260659081168576,47.36622340315796,5.894435678010619,qf,-120
8,255,286,15.0,17.0,11.0,2.0,4471.0,926.0,2380.0,1500.0,21.0,13.0,53.260659081168576,47.36622340315796,5.894435678010619,15.0,17.0,11.0,2.0,4471.0,926.0,2380.0,1500.0,21.0,13.0,53.260659081168576,47.36622340315796,5.894435678010619,qf,-31
9,196,155,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,qf,41
10,271,306,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,qf,-35
11,296,217,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,28.0,16.0,11.0,2.0,4497.0,695.0,2320.0,1550.0,12.0,15.333333333333334,54.53070532823034,52.08390647934642,2.4467988488839154,qf,79
12,166,165,27.0,14.0,14.0,2.0,4847.0,765.0,2500.0,1600.0,37.0,17.666666666666668,62.19351828117383,64.6622017059632,-2.4686834247893708,27.0,14.0,14.0,2.0,4847.0,765.0,2500.0,1600.0,37.0,17.666666666666668,62.19351828117383,64.6622017059632,-2.4686834247893708,qf,1
13,266,190,27.0,14.0,14.0,2.0,4847.0,765.0,2500.0,1600.0,37.0,17.666666666666668,62.19351828117383,64.6622017059632,-2.4686834247893708,27.0,14.0,14.0,2.0,4847.0,765.0,2500.0,1600.0,37.0,17.666666666666668,62.19351828117383,64.6622017059632,-2.4686834247893708,qf,76
14,75,150,23.0,17.0,12.0,1.0,4350.0,860.0,2340.0,1100.0,20.0,12.333333333333334,47.7203952876501,38.212846150436235,9.507549137213866,23.0,17.0,12.0,1.0,4350.0,860.0,2340.0,1100.0,20.0,12.333333333333334,47.7203952876501,38.212846150436235,9.507549137213866,qm,-75
15,111,170,20.0,11.0,17.0,1.0,4309.0,1185.0,2640.0,1050.0,29.0,26.666666666666668,53.57533590927083,64.30868920230283,-10.733353293031996,20.0,11.0,17.0,1.0,4309.0,1185.0,2640.0,1050.0,29.0,26.666666666666668,53.57533590927083,64.30868920230283,-10.733353293031996,qm,-59
16,90,110,46.0,11.0,17.0,2.0,4657.0,650.0,2420.0,1550.0,32.0,25.0,52.4235154953679,50.736698423532204,1.6868170718357003,46.0,11.0,17.0,2.0,4657.0,650.0,2420.0,1550.0,32.0,25.0,52.4235154953679,50.736698423532204,1.6868170718357003,qm,-20
17,193,140,30.0,17.0,11.0,1.0,4558.0,758.0,2380.0,1400.0,98.0,12.666666666666666,53.122837250100226,48.05761535646053,5.0652218936396975,30.0,17.0,11.0,1.0,4558.0,758.0,2380.0,1400.0,98.0,12.666666666666666,53.122837250100226,48.05761535646053,5.0652218936396975,qm,53
18,210,120,28.0,17.0,10.0,3.0,5278.0,841.0,2840.0,1650.0,28.0,9.666666666666666,75.89955867622268,59.65108528604338,16.248473390179296,28.0,17.0,10.0,3.0,5278.0,841.0,2840.0,1650.0,28.0,9.666666666666666,75.89955867622268,59.65108528604338,16.248473390179296,qm,90
19,200,95,6.0,17.0,11.0,2.0,4530.0,738.0,2400.0,1250.0,25.0,12.0,54.03137634272907,41.58311736251096,12.448258980218109,6.0,17.0,11.0,2.0,4530.0,738.0,2400.0,1250.0,25.0,12.0,54.03137634272907,41.58311736251096,12.448258980218109,qm,105
20,145,137,19.0,12.0,17.0,1.0,3838.0,570.0,2160.0,1150.0,28.0,24.666666666666668,34.50762646090473,52.31677510747901,-17.80914864657429,19.0,12.0,17.0,1.0,3838.0,570.0,2160.0,1150.0,28.0,24.666666666666668,34.50762646090473,52.31677510747901,-17.80914864657429,qm,8
21,130,155,32.0,18.0,11.0,1.0,5060.0,1045.0,2340.0,1950.0,20.0,9.0,61.0121397146414,47.76535301508775,13.246786699553654,32.0,18.0,11.0,1.0,5060.0,1045.0,2340.0,1950.0,20.0,9.0,61.0121397146414,47.76535301508775,13.246786699553654,qm,-25
22,100,140,36.0,11.0,17.0,2.0,4378.0,691.0,2280.0,1450.0,13.0,27.666666666666668,45.615968002123,50.72527381742134,-5.109305815298344,36.0,11.0,17.0,2.0,4378.0,691.0,2280.0,1450.0,13.0,27.666666666666668,45.615968002123,50.72527381742134,-5.109305815298344,qm,-40
23,150,163,26.0,19.0,9.0,2.0,4866.0,736.0,2660.0,1500.0,41.0,10.666666666666666,62.571401037042456,36.80407551296048,25.767325524081986,26.0,19.0,9.0,2.0,4866.0,736.0,2660.0,1500.0,41.0,10.666666666666666,62.571401037042456,36.80407551296048,25.767325524081986,qm,-13
24,91,86,23.0,10.0,18.0,2.0,3806.0,891.0,2300.0,1000.0,16.0,30.0,26.884237837751375,65.3603005875771,-38.47606274982573,23.0,10.0,18.0,2.0,3806.0,891.0,2300.0,1000.0,16.0,30.0,26.884237837751375,65.3603005875771,-38.47606274982573,qm,5
25,52,107,34.0,12.0,14.0,3.0,4035.0,663.0,2080.0,1400.0,30.0,21.666666666666668,49.281998610817396,55.58400155198721,-6.302002941169822,34.0,12.0,14.0,3.0,4035.0,663.0,2080.0,1400.0,30.0,21.666666666666668,49.281998610817396,55.58400155198721,-6.302002941169822,qm,-55
26,215,190,22.0,16.0,13.0,1.0,4866.0,1035.0,2540.0,1700.0,21.0,15.666666666666666,57.56371612724529,55.03728161062674,2.5264345166185436,22.0,16.0,13.0,1.0,4866.0,1035.0,2540.0,1700.0,21.0,15.666666666666666,57.56371612724529,55.03728161062674,2.5264345166185436,qm,25
27,215,102,29.0,21.0,8.0,1.0,5690.0,785.0,2700.0,2200.0,15.0,5.666666666666667,88.75293816688473,49.4945022977035,39.25843586918123,29.0,21.0,8.0,1.0,5690.0,785.0,2700.0,2200.0,15.0,5.666666666666667,88.75293816688473,49.4945022977035,39.25843586918123,qm,113
28,90,161,38.0,14.0,14.0,1.0,4191.0,760.0,2260.0,1400.0,31.0,22.333333333333332,45.84843625857936,50.13602076032483,-4.287584501745475,38.0,14.0,14.0,1.0,4191.0,760.0,2260.0,1400.0,31.0,22.333333333333332,45.84843625857936,50.13602076032483,-4.287584501745475,qm,-71
29,51,165,36.0,10.0,19.0,1.0,3399.0,705.0,2200.0,650.0,29.0,30.333333333333332,16.75917652778986,46.942799315439565,-30.1836227876497,36.0,10.0,19.0,1.0,3399.0,705.0,2200.0,650.0,29.0,30.333333333333332,16.75917652778986,46.942799315439565,-30.1836227876497,qm,-114
30,95,104,18.0,14.0,14.0,1.0,4178.0,767.0,2340.0,1200.0,13.0,21.333333333333332,52.0334998839592,43.19877557821326,8.834724305745935,18.0,14.0,14.0,1.0,4178.0,767.0,2340.0,1200.0,13.0,21.333333333333332,52.0334998839592,43.19877557821326,8.834724305745935,qm,-9
31,120,190,31.0,16.0,12.0,1.0,4436.0,1250.0,2500.0,1150.0,11.0,15.333333333333334,51.86008646528006,51.074918842718326,0.7851676225617368,31.0,16.0,12.0,1.0,4436.0,1250.0,2500.0,1150.0,11.0,15.333333333333334,51.86008646528006,51.074918842718326,0.7851676225617368,qm,-70
32,101,140,25.0,12.0,15.0,2.0,3899.0,756.0,2220.0,1150.0,14.0,25.333333333333332,48.14476315874043,45.10755822523316,3.037204933507276,25.0,12.0,15.0,2.0,3899.0,756.0,2220.0,1150.0,14.0,25.333333333333332,48.14476315874043,45.10755822523316,3.037204933507276,qm,-39
33,140,195,28.0,12.0,17.0,0.0,4448.0,825.0,2580.0,1200.0,28.0,22.666666666666668,57.00083493489104,62.011936746559435,-5.011101811668393,28.0,12.0,17.0,0.0,4448.0,825.0,2580.0,1200.0,28.0,22.666666666666668,57.00083493489104,62.011936746559435,-5.011101811668393,qm,-55
34,90,238,30.0,15.0,13.0,1.0,4147.0,641.0,2220.0,1400.0,12.0,19.333333333333332,46.891264608829204,41.38403083288779,5.5072337759414225,30.0,15.0,13.0,1.0,4147.0,641.0,2220.0,1400.0,12.0,19.333333333333332,46.891264608829204,41.38403083288779,5.5072337759414225,qm,-148
35,90,140,24.0,10.0,17.0,3.0,3715.0,635.0,2300.0,750.0,40.0,26.666666666666668,31.876866782485177,46.22237348712605,-14.34550670464087,24.0,10.0,17.0,3.0,3715.0,635.0,2300.0,750.0,40.0,26.666666666666668,31.876866782485177,46.22237348712605,-14.34550670464087,qm,-50
36,195,73,17.0,18.0,10.0,2.0,5155.0,1060.0,2700.0,1800.0,20.0,8.666666666666666,68.61977209271625,43.789459525995376,24.830312566720863,17.0,18.0,10.0,2.0,5155.0,1060.0,2700.0,1800.0,20.0,8.666666666666666,68.61977209271625,43.789459525995376,24.830312566720863,qm,122
37,190,116,29.0,14.0,13.0,2.0,4508.0,714.0,2380.0,1400.0,33.0,17.666666666666668,56.099975268546395,47.218495731855114,8.881479536691288,29.0,14.0,13.0,2.0,4508.0,714.0,2380.0,1400.0,33.0,17.666666666666668,56.099975268546395,47.218495731855114,8.881479536691288,qm,74
38,110,195,14.0,15.0,11.0,4.0,4556.0,932.0,2420.0,1500.0,36.0,15.666666666666666,46.409165251804744,53.64988596088804,-7.240720709083308,14.0,15.0,11.0,4.0,4556.0,932.0,2420.0,1500.0,36.0,15.666666666666666,46.409165251804744,53.64988596088804,-7.240720709083308,qm,-85
39,143,100,35.0,17.0,12.0,1.0,4354.0,508.0,2300.0,1300.0,84.0,12.333333333333334,55.00914977256687,42.172907845566165,12.836241927000708,35.0,17.0,12.0,1.0,4354.0,508.0,2300.0,1300.0,84.0,12.333333333333334,55.00914977256687,42.172907845566165,12.836241927000708,qm,43
40,167,90,32.0,11.0,17.0,1.0,3934.0,1131.0,2460.0,950.0,29.0,29.0,45.96601089882349,54.0621536996955,-8.09614280087201,32.0,11.0,17.0,1.0,3934.0,1131.0,2460.0,950.0,29.0,29.0,45.96601089882349,54.0621536996955,-8.09614280087201,qm,77
41,110,236,16.0,15.0,13.0,2.0,4708.0,960.0,2640.0,1350.0,28.0,15.333333333333334,54.082373682180425,59.75404547621084,-5.671671794030414,16.0,15.0,13.0,2.0,4708.0,960.0,2640.0,1350.0,28.0,15.333333333333334,54.082373682180425,59.75404547621084,-5.671671794030414,qm,-126
42,200,146,21.0,19.0,9.0,1.0,4496.0,920.0,2300.0,1600.0,21.0,9.0,48.38103463656415,44.665203470778486,3.715831165785673,21.0,19.0,9.0,1.0,4496.0,920.0,2300.0,1600.0,21.0,9.0,48.38103463656415,44.665203470778486,3.715831165785673,qm,54
43,190,150,32.0,16.0,14.0,0.0,4468.0,565.0,2240.0,1750.0,18.0,16.333333333333332,56.041270775416905,51.00930421234398,5.031966563072932,32.0,16.0,14.0,0.0,4468.0,565.0,2240.0,1750.0,18.0,16.333333333333332,56.041270775416905,51.00930421234398,5.031966563072932,qm,40
44,99,110,46.0,9.0,19.0,1.0,4026.0,865.0,2580.0,950.0,36.0,28.0,43.93402570316092,49.88810088929993,-5.95407518613901,46.0,9.0,19.0,1.0,4026.0,865.0,2580.0,950.0,36.0,28.0,43.93402570316092,49.88810088929993,-5.95407518613901,qm,-11
45,209,215,43.0,18.0,12.0,0.0,5121.0,808.0,2840.0,1400.0,86.0,10.666666666666666,74.23020665139008,51.258222383354166,22.971984268035897,43.0,18.0,12.0,0.0,5121.0,808.0,2840.0,1400.0,86.0,10.666666666666666,74.23020665139008,51.258222383354166,22.971984268035897,qm,-6
46,141,115,25.0,14.0,13.0,3.0,4447.0,566.0,2360.0,1550.0,47.0,17.333333333333332,54.24288947636555,49.34678403001306,4.896105446352489,25.0,14.0,13.0,3.0,4447.0,566.0,2360.0,1550.0,47.0,17.333333333333332,54.24288947636555,49.34678403001306,4.896105446352489,qm,26
47,135,51,25.0,14.0,15.0,1.0,4396.0,676.0,2560.0,1200.0,21.0,20.666666666666668,54.14253516627784,46.299172664279354,7.843362501998487,25.0,14.0,15.0,1.0,4396.0,676.0,2560.0,1200.0,21.0,20.666666666666668,54.14253516627784,46.299172664279354,7.843362501998487,qm,84
48,240,140,9.0,18.0,10.0,2.0,4831.0,680.0,2520.0,1500.0,16.0,10.0,60.44741067650427,45.0168589868937,15.430551689610567,9.0,18.0,10.0,2.0,4831.0,680.0,2520.0,1500.0,16.0,10.0,60.44741067650427,45.0168589868937,15.430551689610567,qm,100
49,67,110,27.0,14.0,14.0,2.0,3992.0,569.0,2040.0,1200.0,112.0,19.0,27.882691373370893,40.237543316726644,-12.354851943355753,27.0,14.0,14.0,2.0,3992.0,569.0,2040.0,1200.0,112.0,19.0,27.882691373370893,40.237543316726644,-12.354851943355753,qm,-43
50,160,95,42.0,14.0,13.0,2.0,4177.0,926.0,2240.0,1250.0,12.0,20.333333333333332,54.8546196987524,40.98401679089981,13.870602907852593,42.0,14.0,13.0,2.0,4177.0,926.0,2240.0,1250.0,12.0,20.333333333333332,54.8546196987524,40.98401679089981,13.870602907852593,qm,65
51,255,85,48.0,19.0,10.0,1.0,5302.0,795.0,2800.0,1700.0,27.0,11.333333333333334,75.40215511731905,49.6924032760204,25.709751841298644,48.0,19.0,10.0,1.0,5302.0,795.0,2800.0,1700.0,27.0,11.333333333333334,75.40215511731905,49.6924032760204,25.709751841298644,qm,170
52,210,166,18.0,18.0,11.0,1.0,4876.0,1100.0,2760.0,1400.0,41.0,9.333333333333334,64.399376184611,47.96574538123138,16.433630803379618,18.0,18.0,11.0,1.0,4876.0,1100.0,2760.0,1400.0,41.0,9.333333333333334,64.399376184611,47.96574538123138,16.433630803379618,qm,44
53,140,102,30.0,15.0,14.0,0.0,3956.0,875.0,2340.0,1150.0,21.0,20.333333333333332,45.13144073268487,38.24237748639511,6.889063246289761,30.0,15.0,14.0,0.0,3956.0,875.0,2340.0,1150.0,21.0,20.333333333333332,45.13144073268487,38.24237748639511,6.889063246289761,qm,38
54,190,190,26.0,10.0,16.0,4.0,4005.0,544.0,2080.0,1350.0,40.0,26.0,36.19577752652351,51.94093291702592,-15.745155390502411,26.0,10.0,16.0,4.0,4005.0,544.0,2080.0,1350.0,40.0,26.0,36.19577752652351,51.94093291702592,-15.745155390502411,qm,0
55,145,100,27.0,18.0,12.0,0.0,4400.0,760.0,2260.0,1450.0,20.0,17.333333333333332,49.860901673929284,44.04342560146321,5.817476072466076,27.0,18.0,12.0,0.0,4400.0,760.0,2260.0,1450.0,20.0,17.333333333333332,49.860901673929284,44.04342560146321,5.817476072466076,qm,45
56,231,235,36.0,16.0,13.0,1.0,4864.0,940.0,2800.0,1400.0,24.0,14.666666666666666,69.79162956026023,43.224970618983065,26.566658941277172,36.0,16.0,13.0,1.0,4864.0,940.0,2800.0,1400.0,24.0,14.666666666666666,69.79162956026023,43.224970618983065,26.566658941277172,qm,-4
57,165,240,31.0,11.0,16.0,1.0,4008.0,796.0,2200.0,1250.0,18.0,25.666666666666668,40.39207573236715,68.57622049707952,-28.18414476471236,31.0,11.0,16.0,1.0,4008.0,796.0,2200.0,1250.0,18.0,25.666666666666668,40.39207573236715,68.57622049707952,-28.18414476471236,qm,-75
58,50,165,11.0,12.0,17.0,1.0,3732.0,586.0,2040.0,1050.0,27.0,25.666666666666668,30.149927463761532,50.00115370608861,-19.851226242327076,11.0,12.0,17.0,1.0,3732.0,586.0,2040.0,1050.0,27.0,25.666666666666668,30.149927463761532,50.00115370608861,-19.851226242327076,qm,-115
59,120,166,16.0,13.0,16.0,1.0,4041.0,580.0,2320.0,1050.0,16.0,21.333333333333332,42.64356759902356,53.39825339246969,-10.754685793446127,16.0,13.0,16.0,1.0,4041.0,580.0,2320.0,1050.0,16.0,21.333333333333332,42.64356759902356,53.39825339246969,-10.754685793446127,qm,-46
60,145,155,16.0,15.0,14.0,1.0,4229.0,825.0,2320.0,1250.0,34.0,19.0,40.45013849522607,43.31340088464605,-2.8632623894199773,16.0,15.0,14.0,1.0,4229.0,825.0,2320.0,1250.0,34.0,19.0,40.45013849522607,43.31340088464605,-2.8632623894199773,qm,-10
61,190,190,33.0,13.0,14.0,3.0,4255.0,641.0,2460.0,1200.0,25.0,21.0,48.915952791791916,46.43863992389894,2.4773128678929646,33.0,13.0,14.0,3.0,4255.0,641.0,2460.0,1200.0,25.0,21.0,48.915952791791916,46.43863992389894,2.4773128678929646,qm,0
62,240,110,35.0,18.0,11.0,0.0,4536.0,516.0,2260.0,1800.0,16.0,11.666666666666666,56.05133204548216,41.51853650809213,14.532795537390031,35.0,18.0,11.0,0.0,4536.0,516.0,2260.0,1800.0,16.0,11.666666666666666,56.05133204548216,41.51853650809213,14.532795537390031,qm,130
63,95,110,10.0,11.0,18.0,0.0,3614.0,626.0,2180.0,900.0,19.0,30.0,26.80938388218095,38.83092706392916,-12.02154318174822,10.0,11.0,18.0,0.0,3614.0,626.0,2180.0,900.0,19.0,30.0,26.80938388218095,38.83092706392916,-12.02154318174822,qm,-15
64,197,360,43.0,12.0,17.0,1.0,4434.0,700.0,2360.0,1450.0,34.0,25.0,48.911909753001005,63.539801490193184,-14.627891737192174,43.0,12.0,17.0,1.0,4434.0,700.0,2360.0,1450.0,34.0,25.0,48.911909753001005,63.539801490193184,-14.627891737192174,qm,-163
65,205,205,10.0,14.0,13.0,2.0,4441.0,1156.0,2540.0,1200.0,11.0,21.0,54.382164801763565,58.004715216369085,-3.62255041460552,10.0,14.0,13.0,2.0,4441.0,1156.0,2540.0,1200.0,11.0,21.0,54.382164801763565,58.004715216369085,-3.62255041460552,qm,0
66,165,163,33.0,19.0,11.0,0.0,4660.0,943.0,2480.0,1300.0,35.0,9.333333333333334,52.57915193790702,36.12801457684782,16.451137361059196,33.0,19.0,11.0,0.0,4660.0,943.0,2480.0,1300.0,35.0,9.333333333333334,52.57915193790702,36.12801457684782,16.451137361059196,qm,2
67,250,195,40.0,19.0,9.0,2.0,5332.0,808.0,2680.0,1950.0,37.0,9.333333333333334,75.12099430460857,55.9925402723288,19.128454032279752,40.0,19.0,9.0,2.0,5332.0,808.0,2680.0,1950.0,37.0,9.333333333333334,75.12099430460857,55.9925402723288,19.128454032279752,qm,55
68,142,145,32.0,11.0,16.0,2.0,4007.0,681.0,2360.0,1050.0,32.0,23.666666666666668,42.665336852130054,50.777143547390246,-8.111806695260197,32.0,11.0,16.0,2.0,4007.0,681.0,2360.0,1050.0,32.0,23.666666666666668,42.665336852130054,50.777143547390246,-8.111806695260197,qm,-3
69,200,140,22.0,16.0,11.0,3.0,5248.0,851.0,2640.0,1800.0,48.0,10.666666666666666,74.14410791284631,54.19099705361819,19.95311085922813,22.0,16.0,11.0,3.0,5248.0,851.0,2640.0,1800.0,48.0,10.666666666666666,74.14410791284631,54.19099705361819,19.95311085922813,qm,60
70,95,145,27.0,8.0,19.0,1.0,3448.0,971.0,2220.0,750.0,13.0,34.0,32.29743898195033,56.090387341990784,-23.79294836004046,27.0,8.0,19.0,1.0,3448.0,971.0,2220.0,750.0,13.0,34.0,32.29743898195033,56.090387341990784,-23.79294836004046,qm,-50
71,205,140,28.0,16.0,13.0,1.0,4222.0,835.0,2120.0,1300.0,17.0,17.666666666666668,47.81490349324679,44.08482625932788,3.730077233918905,28.0,16.0,13.0,1.0,4222.0,835.0,2120.0,1300.0,17.0,17.666666666666668,47.81490349324679,44.08482625932788,3.730077233918905,qm,65
