,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,310,305,32.0,22.0,12.0,2.0,6600.0,1436.0,3560.0,2400.0,75.0,8.666666666666666,75.81321646219162,44.351415330725104,31.46180113146652,34.0,20.0,15.0,1.0,6635.0,1189.0,3440.0,2350.0,55.0,15.666666666666666,75.86475289146291,51.74746162584236,24.117291265620555,f,5
1,305,305,32.0,22.0,12.0,2.0,6600.0,1436.0,3560.0,2400.0,75.0,8.666666666666666,75.81321646219162,44.351415330725104,31.46180113146652,34.0,20.0,15.0,1.0,6635.0,1189.0,3440.0,2350.0,55.0,15.666666666666666,75.86475289146291,51.74746162584236,24.117291265620555,f,0
2,330,215,32.0,22.0,12.0,2.0,6600.0,1436.0,3560.0,2400.0,75.0,8.666666666666666,75.81321646219162,44.351415330725104,31.46180113146652,34.0,20.0,15.0,1.0,6635.0,1189.0,3440.0,2350.0,55.0,15.666666666666666,75.86475289146291,51.74746162584236,24.117291265620555,f,115
3,220,205,27.0,17.0,17.0,1.0,5829.0,1205.0,3260.0,1650.0,14.0,19.333333333333332,63.443508247918565,64.55494707161188,-1.111438823693322,25.0,23.0,13.0,0.0,6152.0,1073.0,3440.0,1850.0,42.0,12.666666666666666,64.8484286432726,53.213897491633524,11.634531151639079,qf,15
4,265,235,27.0,17.0,17.0,1.0,5829.0,1205.0,3260.0,1650.0,14.0,19.333333333333332,63.443508247918565,64.55494707161188,-1.111438823693322,25.0,23.0,13.0,0.0,6152.0,1073.0,3440.0,1850.0,42.0,12.666666666666666,64.8484286432726,53.213897491633524,11.634531151639079,qf,30
5,185,285,28.0,21.0,15.0,0.0,6133.0,1063.0,3440.0,1750.0,38.0,11.666666666666666,64.0757095766772,50.452712177184445,13.622997399492762,34.0,20.0,15.0,1.0,6635.0,1189.0,3440.0,2350.0,55.0,15.666666666666666,75.86475289146291,51.74746162584236,24.117291265620555,qf,-100
6,195,255,28.0,21.0,15.0,0.0,6133.0,1063.0,3440.0,1750.0,38.0,11.666666666666666,64.0757095766772,50.452712177184445,13.622997399492762,34.0,20.0,15.0,1.0,6635.0,1189.0,3440.0,2350.0,55.0,15.666666666666666,75.86475289146291,51.74746162584236,24.117291265620555,qf,-60
7,255,305,33.0,19.0,15.0,0.0,5579.0,921.0,3040.0,1850.0,39.0,17.0,54.0257068194907,46.14498040363952,7.880726415851186,44.0,21.0,14.0,1.0,6840.0,909.0,3300.0,2500.0,285.0,10.0,79.92508897156218,57.19643333925158,22.728655632310588,qf,-50
8,145,277,33.0,19.0,15.0,0.0,5579.0,921.0,3040.0,1850.0,39.0,17.0,54.0257068194907,46.14498040363952,7.880726415851186,44.0,21.0,14.0,1.0,6840.0,909.0,3300.0,2500.0,285.0,10.0,79.92508897156218,57.19643333925158,22.728655632310588,qf,-132
9,241,305,35.0,18.0,16.0,2.0,5790.0,813.0,3160.0,1900.0,45.0,15.666666666666666,57.597292982572384,61.15108666871546,-3.553793686143069,32.0,22.0,12.0,2.0,6600.0,1436.0,3560.0,2400.0,75.0,8.666666666666666,75.81321646219162,44.351415330725104,31.46180113146652,qf,-64
10,200,255,35.0,18.0,16.0,2.0,5790.0,813.0,3160.0,1900.0,45.0,15.666666666666666,57.597292982572384,61.15108666871546,-3.553793686143069,32.0,22.0,12.0,2.0,6600.0,1436.0,3560.0,2400.0,75.0,8.666666666666666,75.81321646219162,44.351415330725104,31.46180113146652,qf,-55
