,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,235,305,31.0,21.0,15.0,0.0,6797.0,1255.0,3700.0,2350.0,2.0,10.666666666666666,67.85537350287859,66.25448498088203,1.6008885219965734,32.0,20.0,15.0,1.0,7326.0,1456.0,3680.0,2900.0,6.0,10.333333333333334,77.86783676421301,51.31673405998557,26.551102704227443,f,-70
1,270,305,31.0,21.0,15.0,0.0,6797.0,1255.0,3700.0,2350.0,2.0,10.666666666666666,67.85537350287859,66.25448498088203,1.6008885219965734,32.0,20.0,15.0,1.0,7326.0,1456.0,3680.0,2900.0,6.0,10.333333333333334,77.86783676421301,51.31673405998557,26.551102704227443,f,-35
2,105,340,28.0,17.0,16.0,1.0,5980.0,1212.0,3180.0,2200.0,5.0,15.0,56.21551595462452,74.62042360589966,-18.40490765127514,32.0,20.0,15.0,1.0,7326.0,1456.0,3680.0,2900.0,6.0,10.333333333333334,77.86783676421301,51.31673405998557,26.551102704227443,qf,-235
3,215,315,28.0,17.0,16.0,1.0,5980.0,1212.0,3180.0,2200.0,5.0,15.0,56.21551595462452,74.62042360589966,-18.40490765127514,32.0,20.0,15.0,1.0,7326.0,1456.0,3680.0,2900.0,6.0,10.333333333333334,77.86783676421301,51.31673405998557,26.551102704227443,qf,-100
4,305,256,26.0,18.0,17.0,1.0,7267.0,1392.0,3580.0,2900.0,2.0,13.0,83.57118496908438,67.40040237172754,16.170782597356855,22.0,21.0,15.0,0.0,6947.0,1350.0,3480.0,2850.0,12.0,11.0,68.34815295380413,63.34790376557493,5.000249188229198,qf,49
5,205,306,26.0,18.0,17.0,1.0,7267.0,1392.0,3580.0,2900.0,2.0,13.0,83.57118496908438,67.40040237172754,16.170782597356855,22.0,21.0,15.0,0.0,6947.0,1350.0,3480.0,2850.0,12.0,11.0,68.34815295380413,63.34790376557493,5.000249188229198,qf,-101
6,255,305,26.0,18.0,17.0,1.0,7267.0,1392.0,3580.0,2900.0,2.0,13.0,83.57118496908438,67.40040237172754,16.170782597356855,22.0,21.0,15.0,0.0,6947.0,1350.0,3480.0,2850.0,12.0,11.0,68.34815295380413,63.34790376557493,5.000249188229198,qf,-50
7,200,230,15.0,18.0,18.0,0.0,6073.0,1301.0,3360.0,2100.0,3.0,15.0,49.909034042990356,62.8020941866562,-12.893060143665835,44.0,20.0,14.0,2.0,6959.0,1738.0,3620.0,2550.0,4.0,10.666666666666666,77.24171278297332,56.96386096185998,20.277851821113348,qf,-30
8,175,165,15.0,18.0,18.0,0.0,6073.0,1301.0,3360.0,2100.0,3.0,15.0,49.909034042990356,62.8020941866562,-12.893060143665835,44.0,20.0,14.0,2.0,6959.0,1738.0,3620.0,2550.0,4.0,10.666666666666666,77.24171278297332,56.96386096185998,20.277851821113348,qf,10
9,145,265,15.0,18.0,18.0,0.0,6073.0,1301.0,3360.0,2100.0,3.0,15.0,49.909034042990356,62.8020941866562,-12.893060143665835,44.0,20.0,14.0,2.0,6959.0,1738.0,3620.0,2550.0,4.0,10.666666666666666,77.24171278297332,56.96386096185998,20.277851821113348,qf,-120
