,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,337,165,14.0,23.0,13.0,0.0,9340.0,1855.0,4280.0,3750.0,630.0,10.333333333333334,107.75359582313422,70.34491869908766,37.40867712404658,17.0,21.0,15.0,0.0,8535.0,1720.0,4240.0,3450.0,115.0,13.666666666666666,80.62110968614367,73.09649422899453,7.524615457149139,f,172
1,367,0,14.0,23.0,13.0,0.0,9340.0,1855.0,4280.0,3750.0,630.0,10.333333333333334,107.75359582313422,70.34491869908766,37.40867712404658,17.0,21.0,15.0,0.0,8535.0,1720.0,4240.0,3450.0,115.0,13.666666666666666,80.62110968614367,73.09649422899453,7.524615457149139,f,367
2,198,310,30.0,20.0,16.0,0.0,8929.0,1643.0,4400.0,3500.0,219.0,13.0,87.18901613951452,83.58733735311762,3.601678786396912,37.0,22.0,14.0,0.0,8714.0,2202.0,4760.0,3050.0,229.0,12.0,84.57444778410267,64.0556665606613,20.518781223441383,qf,-112
3,255,280,30.0,20.0,16.0,0.0,8929.0,1643.0,4400.0,3500.0,219.0,13.0,87.18901613951452,83.58733735311762,3.601678786396912,37.0,22.0,14.0,0.0,8714.0,2202.0,4760.0,3050.0,229.0,12.0,84.57444778410267,64.0556665606613,20.518781223441383,qf,-25
4,255,305,23.0,18.0,18.0,0.0,8772.0,1814.0,4580.0,3250.0,142.0,15.0,92.9728081498605,82.4141114782427,10.558696671617795,17.0,21.0,15.0,0.0,8535.0,1720.0,4240.0,3450.0,115.0,13.666666666666666,80.62110968614367,73.09649422899453,7.524615457149139,qf,-50
5,256,305,23.0,18.0,18.0,0.0,8772.0,1814.0,4580.0,3250.0,142.0,15.0,92.9728081498605,82.4141114782427,10.558696671617795,17.0,21.0,15.0,0.0,8535.0,1720.0,4240.0,3450.0,115.0,13.666666666666666,80.62110968614367,73.09649422899453,7.524615457149139,qf,-49
6,395,306,19.0,19.0,16.0,0.0,8824.0,1367.0,4480.0,3450.0,189.0,12.666666666666666,99.61824585326048,75.66760486016453,23.95064099309595,13.0,21.0,14.0,0.0,8724.0,1733.0,4560.0,3300.0,159.0,13.0,87.53294510057667,74.58639165693552,12.946553443641152,qf,89
7,305,285,19.0,19.0,16.0,0.0,8824.0,1367.0,4480.0,3450.0,189.0,12.666666666666666,99.61824585326048,75.66760486016453,23.95064099309595,13.0,21.0,14.0,0.0,8724.0,1733.0,4560.0,3300.0,159.0,13.0,87.53294510057667,74.58639165693552,12.946553443641152,qf,20
8,347,310,33.0,18.0,18.0,0.0,8832.0,1944.0,4140.0,3500.0,377.0,18.0,92.736580665707,91.71524323421333,1.0213374314936914,14.0,23.0,13.0,0.0,9340.0,1855.0,4280.0,3750.0,630.0,10.333333333333334,107.75359582313422,70.34491869908766,37.40867712404658,qf,37
9,332,366,33.0,18.0,18.0,0.0,8832.0,1944.0,4140.0,3500.0,377.0,18.0,92.736580665707,91.71524323421333,1.0213374314936914,14.0,23.0,13.0,0.0,9340.0,1855.0,4280.0,3750.0,630.0,10.333333333333334,107.75359582313422,70.34491869908766,37.40867712404658,qf,-34
10,266,305,33.0,18.0,18.0,0.0,8832.0,1944.0,4140.0,3500.0,377.0,18.0,92.736580665707,91.71524323421333,1.0213374314936914,14.0,23.0,13.0,0.0,9340.0,1855.0,4280.0,3750.0,630.0,10.333333333333334,107.75359582313422,70.34491869908766,37.40867712404658,qf,-39
11,245,105,24.0,17.0,19.0,0.0,8718.0,1491.0,4080.0,3600.0,138.0,20.666666666666668,90.34184782028855,83.07007069369097,7.271777126597596,21.0,13.0,23.0,0.0,7746.0,1384.0,3760.0,3050.0,171.0,27.666666666666668,60.825306116909154,81.72646143274852,-20.90115531583937,qm,140
12,206,230,26.0,16.0,20.0,0.0,8641.0,2117.0,4720.0,3000.0,216.0,20.0,80.53840888871076,81.28824893112612,-0.7498400424153525,18.0,19.0,17.0,0.0,8777.0,1647.0,4720.0,3150.0,182.0,14.333333333333334,89.092209643755,90.94333057632934,-1.8511209325743323,qm,-24
13,170,150,8.0,18.0,17.0,0.0,8170.0,1663.0,3840.0,3100.0,475.0,22.666666666666668,79.80582222593593,85.98864891292794,-6.182826686992004,29.0,21.0,15.0,0.0,8377.0,2026.0,4460.0,3000.0,112.0,15.333333333333334,74.93039890298586,51.915855467181125,23.01454343580474,qm,20
14,285,252,16.0,21.0,15.0,0.0,8824.0,1453.0,4420.0,3500.0,174.0,13.333333333333334,83.19864638247134,72.8128880629164,10.385758319554943,32.0,21.0,15.0,0.0,9248.0,1894.0,4220.0,3700.0,608.0,9.666666666666666,98.72843775036988,92.6826517704621,6.045785979907781,qm,33
15,230,310,39.0,23.0,13.0,0.0,9381.0,2271.0,4820.0,3500.0,141.0,9.0,109.70987998567496,71.3001363982245,38.409743587450464,20.0,21.0,15.0,0.0,8734.0,1681.0,4380.0,3500.0,119.0,12.0,86.86510626449648,75.83714339858973,11.027962865906742,qm,-80
16,230,143,36.0,17.0,19.0,0.0,8717.0,1814.0,4740.0,2950.0,162.0,16.666666666666668,85.65631596641664,75.98989579475686,9.666420171659778,16.0,17.0,19.0,0.0,8084.0,1937.0,4460.0,2650.0,154.0,19.0,68.20900890975405,70.19504581071921,-1.9860369009651488,qm,87
17,271,135,16.0,19.0,17.0,0.0,8323.0,1886.0,4380.0,3150.0,223.0,19.0,69.97621011716906,69.01852003457032,0.9576900825987522,34.0,19.0,17.0,0.0,8327.0,1779.0,4320.0,3000.0,372.0,15.333333333333334,74.65604540138652,75.3541090488729,-0.6980636474863667,qm,136
18,276,235,20.0,17.0,19.0,0.0,8086.0,1528.0,4000.0,3050.0,376.0,21.0,65.07399958036522,84.84569287968468,-19.77169329931944,12.0,15.0,20.0,0.0,8121.0,1323.0,4300.0,2900.0,181.0,20.333333333333332,79.14032600962256,84.62738292869612,-5.487056919073562,qm,41
19,247,206,23.0,18.0,18.0,0.0,8470.0,1745.0,3940.0,3400.0,445.0,17.666666666666668,81.63834752940521,72.94994119094032,8.688406338464892,20.0,15.0,20.0,0.0,7934.0,1775.0,4220.0,2800.0,164.0,25.333333333333332,68.12561021721794,89.15987314388103,-21.03426292666308,qm,41
20,235,245,11.0,17.0,19.0,0.0,8498.0,1750.0,4280.0,3200.0,218.0,20.0,83.84108242005026,93.68525332517866,-9.844170905128422,17.0,18.0,18.0,0.0,7917.0,1184.0,3780.0,3300.0,127.0,21.333333333333332,64.92675057099024,72.49400557657826,-7.567255005588014,qm,-10
