,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,280,296,10.0,19.0,15.0,2.0,7105.0,1373.0,3700.0,2750.0,40.0,15.0,87.05067529797505,68.00155492724856,19.049120370726488,11.0,23.0,11.0,2.0,7152.0,1078.0,3620.0,2700.0,242.0,11.333333333333334,85.13572713134921,53.5169586892861,31.618768442063118,f,-16
1,255,330,10.0,19.0,15.0,2.0,7105.0,1373.0,3700.0,2750.0,40.0,15.0,87.05067529797505,68.00155492724856,19.049120370726488,11.0,23.0,11.0,2.0,7152.0,1078.0,3620.0,2700.0,242.0,11.333333333333334,85.13572713134921,53.5169586892861,31.618768442063118,f,-75
2,270,210,32.0,19.0,17.0,0.0,6825.0,1160.0,3380.0,2750.0,50.0,17.333333333333332,75.72765156604868,73.1512750562851,2.5763765097635676,11.0,23.0,11.0,2.0,7152.0,1078.0,3620.0,2700.0,242.0,11.333333333333334,85.13572713134921,53.5169586892861,31.618768442063118,qf,60
3,225,261,32.0,19.0,17.0,0.0,6825.0,1160.0,3380.0,2750.0,50.0,17.333333333333332,75.72765156604868,73.1512750562851,2.5763765097635676,11.0,23.0,11.0,2.0,7152.0,1078.0,3620.0,2700.0,242.0,11.333333333333334,85.13572713134921,53.5169586892861,31.618768442063118,qf,-36
4,265,271,32.0,19.0,17.0,0.0,6825.0,1160.0,3380.0,2750.0,50.0,17.333333333333332,75.72765156604868,73.1512750562851,2.5763765097635676,11.0,23.0,11.0,2.0,7152.0,1078.0,3620.0,2700.0,242.0,11.333333333333334,85.13572713134921,53.5169586892861,31.618768442063118,qf,-6
5,255,305,35.0,22.0,12.0,1.0,6246.0,1471.0,3500.0,2150.0,21.0,12.666666666666666,66.16266365218952,48.18047822120576,17.982185430983765,19.0,21.0,14.0,1.0,6575.0,1350.0,3520.0,2350.0,30.0,14.666666666666666,63.81323877375385,57.745662527462,6.06757624629185,qf,-50
6,245,270,35.0,22.0,12.0,1.0,6246.0,1471.0,3500.0,2150.0,21.0,12.666666666666666,66.16266365218952,48.18047822120576,17.982185430983765,19.0,21.0,14.0,1.0,6575.0,1350.0,3520.0,2350.0,30.0,14.666666666666666,63.81323877375385,57.745662527462,6.06757624629185,qf,-25
7,305,255,10.0,19.0,15.0,2.0,7105.0,1373.0,3700.0,2750.0,40.0,15.0,87.05067529797505,68.00155492724856,19.049120370726488,24.0,21.0,12.0,3.0,6616.0,1319.0,3720.0,2150.0,66.0,13.0,70.78623514475328,47.16129276030236,23.624942384450918,qf,50
8,330,218,10.0,19.0,15.0,2.0,7105.0,1373.0,3700.0,2750.0,40.0,15.0,87.05067529797505,68.00155492724856,19.049120370726488,24.0,21.0,12.0,3.0,6616.0,1319.0,3720.0,2150.0,66.0,13.0,70.78623514475328,47.16129276030236,23.624942384450918,qf,112
9,285,145,25.0,21.0,14.0,1.0,6454.0,1073.0,3500.0,2200.0,69.0,13.666666666666666,59.51394582006092,48.685214472494714,10.828731347566212,6.0,18.0,15.0,3.0,6446.0,1023.0,3140.0,2500.0,66.0,17.333333333333332,65.51379859728699,51.35224921119406,14.161549386092938,qf,140
10,190,205,25.0,21.0,14.0,1.0,6454.0,1073.0,3500.0,2200.0,69.0,13.666666666666666,59.51394582006092,48.685214472494714,10.828731347566212,6.0,18.0,15.0,3.0,6446.0,1023.0,3140.0,2500.0,66.0,17.333333333333332,65.51379859728699,51.35224921119406,14.161549386092938,qf,-15
11,205,190,25.0,21.0,14.0,1.0,6454.0,1073.0,3500.0,2200.0,69.0,13.666666666666666,59.51394582006092,48.685214472494714,10.828731347566212,6.0,18.0,15.0,3.0,6446.0,1023.0,3140.0,2500.0,66.0,17.333333333333332,65.51379859728699,51.35224921119406,14.161549386092938,qf,15
12,183,95,31.0,17.0,17.0,2.0,6353.0,1165.0,3560.0,2150.0,38.0,21.0,63.812567591379,51.790720759035445,12.021846832343563,10.0,18.0,18.0,0.0,6517.0,1327.0,3520.0,2300.0,37.0,18.666666666666668,59.99630107962549,59.01143454637833,0.9848665332471521,qm,88
13,190,190,16.0,22.0,8.0,5.0,6994.0,1055.0,3480.0,2800.0,29.0,9.0,75.1708166088532,51.093995545854774,24.076821062998416,8.0,15.0,16.0,5.0,6513.0,1156.0,3820.0,2000.0,48.0,21.0,67.67401068063491,72.57088904516489,-4.896878364529999,qm,0
14,90,95,25.0,14.0,20.0,2.0,5706.0,1144.0,3440.0,1650.0,31.0,25.666666666666668,45.45540918519816,61.31760014396269,-15.862190958764538,26.0,12.0,23.0,1.0,5195.0,868.0,2940.0,1650.0,45.0,29.666666666666668,29.94101403154741,45.21420376842332,-15.273189736875898,qm,-5
15,145,200,15.0,16.0,20.0,0.0,6209.0,1326.0,3360.0,2150.0,49.0,23.666666666666668,51.324909015369144,62.45581066319719,-11.130901647828042,22.0,16.0,18.0,2.0,6268.0,1063.0,3640.0,2000.0,33.0,20.333333333333332,61.906387226206675,61.63968872995838,0.2666984962483028,qm,-55
16,115,90,16.0,23.0,12.0,1.0,6388.0,1352.0,3480.0,2150.0,38.0,10.666666666666666,61.31676760350653,35.061381580083896,26.25538602342264,26.0,19.0,14.0,2.0,5882.0,943.0,3180.0,2050.0,57.0,17.0,54.536116849655876,50.281867508285586,4.254249341370283,qm,25
17,145,155,15.0,16.0,19.0,1.0,5873.0,1110.0,3180.0,2000.0,13.0,22.666666666666668,48.90030674815646,54.77637048431567,-5.876063736159202,29.0,21.0,14.0,1.0,6691.0,883.0,3420.0,2550.0,31.0,14.666666666666666,71.46101904015443,56.79508672046427,14.665932319690166,qm,-10
18,230,153,20.0,21.0,13.0,2.0,7032.0,1310.0,3960.0,2450.0,37.0,12.666666666666666,80.84932781061757,60.244110411875916,20.605217398741644,29.0,17.0,19.0,0.0,6495.0,1171.0,3480.0,2350.0,30.0,22.333333333333332,65.25653322767434,59.29321341223446,5.963319815439877,qm,77
19,95,95,23.0,12.0,20.0,4.0,5371.0,562.0,3080.0,1600.0,71.0,28.666666666666668,33.09341997682588,48.49897816100184,-15.40555818417596,26.0,11.0,21.0,4.0,5600.0,1210.0,3380.0,1600.0,40.0,28.0,40.53697052138129,57.05373676715095,-16.516766245769652,qm,0
20,90,100,17.0,8.0,27.0,1.0,5106.0,843.0,3120.0,1350.0,46.0,36.666666666666664,28.893449967600827,65.95673139971292,-37.06328143211209,16.0,18.0,16.0,1.0,5797.0,1130.0,3180.0,2000.0,12.0,19.333333333333332,52.483929999418656,46.85734822987407,5.626581769544589,qm,-10
21,190,210,25.0,17.0,18.0,1.0,6567.0,1148.0,3500.0,2400.0,62.0,19.333333333333332,60.54507833509172,63.598720615830665,-3.0536422807389414,12.0,23.0,10.0,3.0,6994.0,1300.0,3440.0,2800.0,39.0,9.0,74.74971164832193,53.19666207869428,21.55304956962765,qm,-20
22,96,212,13.0,21.0,15.0,0.0,6313.0,1220.0,3180.0,2400.0,53.0,15.666666666666666,60.58587033014876,56.23102829799444,4.354842032154312,13.0,20.0,14.0,2.0,6833.0,1290.0,3640.0,2300.0,258.0,16.0,76.22341859025285,54.56073567348103,21.662682916771818,qm,-116
23,10,149,16.0,12.0,22.0,2.0,5064.0,950.0,2960.0,1400.0,94.0,32.0,28.31033675863988,53.75418589530278,-25.4438491366629,22.0,16.0,17.0,3.0,6347.0,816.0,3120.0,2550.0,52.0,21.333333333333332,57.34959903920427,56.59581614529704,0.7537828939072378,qm,-139
24,165,115,22.0,19.0,13.0,3.0,6507.0,1397.0,3580.0,2250.0,37.0,15.666666666666666,67.31147141200294,66.39615033729206,0.9153210747108721,22.0,15.0,20.0,1.0,5565.0,926.0,3120.0,1700.0,60.0,27.333333333333332,43.630125244035575,59.228087201629656,-15.59796195759408,qm,50
25,100,265,23.0,12.0,21.0,2.0,5463.0,996.0,3040.0,1900.0,18.0,29.666666666666668,47.65031301247728,68.76389920598284,-21.113586193505572,14.0,22.0,13.0,1.0,6650.0,1530.0,3660.0,2300.0,40.0,12.0,59.027220939778935,44.26040221686129,14.766818722917643,qm,-165
26,190,225,13.0,10.0,23.0,3.0,5893.0,1079.0,3280.0,1950.0,38.0,31.0,56.42966189880278,72.38631064478074,-15.956648745977963,29.0,20.0,14.0,2.0,6638.0,1221.0,3780.0,2150.0,8.0,14.333333333333334,70.43297589950585,59.183679529887605,11.249296369618245,qm,-35
27,215,90,30.0,21.0,12.0,3.0,6499.0,1373.0,3660.0,2200.0,34.0,13.0,70.33723576497869,46.81654437770428,23.5206913872744,26.0,15.0,21.0,0.0,6146.0,981.0,3420.0,2100.0,46.0,24.666666666666668,50.461037452235644,65.14396497916756,-14.682927526931925,qm,125
28,215,217,15.0,18.0,18.0,0.0,6541.0,1065.0,3240.0,2600.0,21.0,19.666666666666668,67.43567828915536,60.78007989874112,6.655598390414234,13.0,21.0,12.0,3.0,6528.0,1084.0,3260.0,2500.0,48.0,14.0,62.044875319162294,56.56388810173552,5.480987217426775,qm,-2
29,250,167,12.0,23.0,10.0,3.0,7051.0,1052.0,3760.0,2350.0,261.0,9.666666666666666,77.77847784039402,49.052390270142524,28.726087570251494,33.0,12.0,22.0,2.0,5531.0,971.0,3080.0,1800.0,46.0,28.666666666666668,40.960249877178086,64.4288400636201,-23.468590186442025,qm,83
30,185,96,25.0,18.0,15.0,2.0,6510.0,977.0,3340.0,2500.0,60.0,17.0,63.63405633935687,52.70319243649768,10.930863902859187,15.0,13.0,20.0,3.0,5631.0,1097.0,3480.0,1400.0,81.0,28.0,39.3513096548977,59.69803765217244,-20.34672799727474,qm,89
31,295,100,12.0,20.0,16.0,0.0,6266.0,1107.0,3140.0,2400.0,31.0,15.666666666666666,64.85399807233955,43.07856222175659,21.77543585058295,20.0,10.0,24.0,2.0,5202.0,836.0,3120.0,1450.0,42.0,34.333333333333336,33.69742273757819,77.26763917361062,-43.57021643603243,qm,195
32,195,235,16.0,15.0,21.0,0.0,6245.0,1040.0,3200.0,2450.0,25.0,26.333333333333332,59.710324111493804,68.23571108769788,-8.52538697620406,21.0,23.0,11.0,2.0,6826.0,1430.0,3660.0,2450.0,36.0,10.0,70.44226231221299,52.19026077434148,18.252001537871504,qm,-40
33,305,150,12.0,23.0,11.0,2.0,7142.0,1434.0,3880.0,2500.0,67.0,9.0,76.88389418224526,59.00592835195011,17.87796583029515,29.0,13.0,22.0,1.0,6114.0,1079.0,3360.0,2100.0,54.0,27.666666666666668,54.35257406447206,75.02311586114534,-20.670541796673287,qm,155
34,115,200,7.0,19.0,16.0,1.0,6470.0,1069.0,3140.0,2450.0,240.0,18.0,61.19270947641271,60.01070726203731,1.1820022143753945,24.0,18.0,15.0,3.0,6093.0,1027.0,3700.0,1600.0,43.0,18.666666666666668,49.26666559217721,46.067900449181764,3.198765142995447,qm,-85
35,185,239,33.0,18.0,16.0,1.0,6221.0,1077.0,3340.0,2300.0,11.0,19.666666666666668,62.087252021975246,57.66769311044771,4.419558911527538,15.0,22.0,13.0,1.0,6540.0,1351.0,3380.0,2250.0,260.0,13.666666666666666,59.67208530047443,44.43615127778059,15.235934022693838,qm,-54
36,90,126,26.0,12.0,22.0,2.0,5303.0,1145.0,3380.0,1250.0,23.0,29.666666666666668,28.20304703877521,46.877999941400994,-18.674952902625787,10.0,16.0,16.0,4.0,6146.0,1041.0,3200.0,2200.0,56.0,22.0,58.67200857947981,71.2044865767908,-12.532477997311,qm,-36
37,215,141,19.0,19.0,14.0,3.0,6609.0,1491.0,3660.0,2300.0,49.0,14.333333333333334,76.13633866815901,40.51714234169297,35.619196326466046,16.0,10.0,24.0,2.0,5492.0,701.0,2980.0,1850.0,62.0,31.666666666666668,39.489117780161365,59.01096954864806,-19.521851768486687,qm,74
38,135,145,23.0,14.0,21.0,1.0,5591.0,882.0,3420.0,1500.0,56.0,27.333333333333332,36.89829276647921,55.197070187071965,-18.298777420592753,19.0,18.0,15.0,2.0,5739.0,1001.0,3180.0,1850.0,49.0,18.666666666666668,54.40409376602381,47.39501415443298,7.009079611590835,qm,-10
39,230,245,17.0,23.0,11.0,2.0,7035.0,1587.0,3880.0,2350.0,50.0,9.666666666666666,72.91817068029195,53.44182299777881,19.47634768251315,15.0,21.0,12.0,3.0,6708.0,977.0,3240.0,2750.0,43.0,11.666666666666666,70.44594631617457,56.301032576991226,14.144913739183345,qm,-15
40,120,275,13.0,12.0,23.0,1.0,5427.0,996.0,2880.0,1950.0,47.0,32.0,43.322585032039605,73.43940185577641,-30.11681682373681,23.0,19.0,17.0,0.0,6719.0,1338.0,3440.0,2550.0,39.0,18.0,68.50493622216757,61.99949570363574,6.505440518531832,qm,-155
41,268,145,18.0,25.0,9.0,2.0,7078.0,1390.0,3640.0,2500.0,268.0,6.0,76.88308282012048,50.18849142444264,26.694591395677847,16.0,14.0,19.0,2.0,6120.0,945.0,3260.0,2250.0,5.0,24.333333333333332,58.039784697826995,77.43911545344476,-19.39933075561776,qm,123
42,95,235,35.0,16.0,18.0,1.0,5674.0,1046.0,3400.0,1750.0,9.0,22.666666666666668,55.561175126998535,62.14184207888187,-6.580666951883342,23.0,22.0,11.0,3.0,6973.0,1005.0,3740.0,2500.0,58.0,10.0,73.17739450350571,41.8383719782238,31.339022525281916,qm,-140
43,121,50,26.0,19.0,15.0,2.0,6101.0,1317.0,3600.0,1800.0,41.0,17.333333333333332,54.93439927143117,46.79390562364648,8.140493647784675,28.0,10.0,25.0,1.0,5182.0,1063.0,2960.0,1550.0,22.0,33.0,32.89496761087589,50.16960841209259,-17.2746408012167,qm,71
44,140,207,18.0,14.0,21.0,1.0,5826.0,984.0,3420.0,1750.0,36.0,28.333333333333332,44.10983690291581,60.818207189374675,-16.70837028645886,9.0,18.0,14.0,4.0,6680.0,1204.0,3800.0,2200.0,80.0,17.666666666666668,72.24215476914777,49.4955795108441,22.746575258303675,qm,-67
45,175,150,22.0,20.0,14.0,1.0,6414.0,1263.0,3440.0,2300.0,39.0,15.333333333333334,58.50331320654798,62.72877400191317,-4.22546079536519,26.0,11.0,23.0,2.0,5796.0,1205.0,3480.0,1700.0,31.0,30.333333333333332,48.80759950648377,66.6216686755264,-17.81406916904263,qm,25
46,140,205,36.0,15.0,20.0,1.0,5882.0,667.0,3100.0,2100.0,62.0,23.666666666666668,47.42860235033161,67.51446450437925,-20.085862154047643,14.0,15.0,19.0,2.0,6025.0,957.0,3160.0,2150.0,40.0,24.0,53.741160006528524,56.77968670458912,-3.0385266980605956,qm,-65
47,140,255,5.0,10.0,23.0,3.0,5554.0,1164.0,3240.0,1650.0,59.0,31.0,41.23404261903053,73.62320817350128,-32.389165554470765,32.0,22.0,14.0,0.0,6527.0,1471.0,3500.0,2400.0,22.0,14.0,67.3221162331695,52.00769573963232,15.314420493537169,qm,-115
48,305,136,27.0,21.0,12.0,2.0,6402.0,1150.0,3640.0,2100.0,17.0,13.333333333333334,69.9197241583147,46.82617121695887,23.093552941355824,23.0,15.0,20.0,1.0,5914.0,1295.0,3320.0,1900.0,39.0,24.666666666666668,42.36533437889362,69.21428880968476,-26.848954430791135,qm,169
49,200,210,20.0,20.0,16.0,0.0,6315.0,1040.0,3060.0,2500.0,85.0,17.333333333333332,67.19817865092365,64.04370587416045,3.1544727767631975,21.0,17.0,19.0,0.0,6453.0,1108.0,3340.0,2400.0,38.0,22.333333333333332,63.14720568797386,56.51257758208916,6.6346281058846985,qm,-10
50,215,116,15.0,21.0,11.0,4.0,6729.0,880.0,3260.0,2700.0,64.0,11.666666666666666,68.47758849951138,43.09698752519976,25.380600974311616,23.0,15.0,21.0,0.0,6107.0,791.0,3040.0,2200.0,257.0,25.333333333333332,52.89934687078418,60.602117364478964,-7.702770493694781,qm,99
51,145,90,14.0,17.0,18.0,1.0,6017.0,1004.0,3340.0,1950.0,22.0,20.0,52.22376686333934,53.43750487427415,-1.2137380109347973,23.0,15.0,18.0,2.0,5604.0,1048.0,3200.0,1800.0,24.0,24.333333333333332,41.51130014951014,47.17043728506045,-5.659137135550306,qm,55
52,235,185,13.0,18.0,15.0,3.0,6723.0,1104.0,3960.0,2150.0,48.0,17.333333333333332,67.59502095959323,62.48005686506708,5.1149640945261465,20.0,12.0,19.0,5.0,5862.0,1048.0,3560.0,1650.0,27.0,25.666666666666668,49.989255032137805,68.27003445507448,-18.280779422936668,qm,50
