,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,215,306,20.0,22.0,14.0,0.0,8356.0,1609.0,4100.0,3500.0,11.0,11.0,88.627313947113,66.71876265915687,21.90855128795614,29.0,26.0,10.0,0.0,8412.0,1847.0,4320.0,3350.0,92.0,9.333333333333334,90.88208625330253,55.56722362567276,35.314862627629765,f,-91
1,305,324,20.0,22.0,14.0,0.0,8356.0,1609.0,4100.0,3500.0,11.0,11.0,88.627313947113,66.71876265915687,21.90855128795614,29.0,26.0,10.0,0.0,8412.0,1847.0,4320.0,3350.0,92.0,9.333333333333334,90.88208625330253,55.56722362567276,35.314862627629765,f,-19
2,305,257,16.0,19.0,16.0,1.0,7828.0,1812.0,4080.0,3050.0,23.0,16.0,77.224634893234,74.62519937599161,2.5994355172423744,29.0,26.0,10.0,0.0,8412.0,1847.0,4320.0,3350.0,92.0,9.333333333333334,90.88208625330253,55.56722362567276,35.314862627629765,qf,48
3,165,272,16.0,19.0,16.0,1.0,7828.0,1812.0,4080.0,3050.0,23.0,16.0,77.224634893234,74.62519937599161,2.5994355172423744,29.0,26.0,10.0,0.0,8412.0,1847.0,4320.0,3350.0,92.0,9.333333333333334,90.88208625330253,55.56722362567276,35.314862627629765,qf,-107
4,205,320,16.0,19.0,16.0,1.0,7828.0,1812.0,4080.0,3050.0,23.0,16.0,77.224634893234,74.62519937599161,2.5994355172423744,29.0,26.0,10.0,0.0,8412.0,1847.0,4320.0,3350.0,92.0,9.333333333333334,90.88208625330253,55.56722362567276,35.314862627629765,qf,-115
5,310,145,17.0,19.0,17.0,0.0,7888.0,1608.0,4040.0,3000.0,23.0,17.333333333333332,76.06966458130769,73.59383741006862,2.475827171239087,13.0,19.0,16.0,1.0,8024.0,1876.0,3900.0,3300.0,29.0,16.0,79.90519993286956,73.21786138066471,6.687338552204854,qf,165
6,305,185,17.0,19.0,17.0,0.0,7888.0,1608.0,4040.0,3000.0,23.0,17.333333333333332,76.06966458130769,73.59383741006862,2.475827171239087,13.0,19.0,16.0,1.0,8024.0,1876.0,3900.0,3300.0,29.0,16.0,79.90519993286956,73.21786138066471,6.687338552204854,qf,120
7,313,145,17.0,19.0,17.0,0.0,8049.0,1555.0,4020.0,3300.0,29.0,18.0,75.68600418592071,70.16140491543548,5.524599270485221,15.0,21.0,14.0,1.0,7785.0,1621.0,4020.0,3200.0,30.0,14.333333333333334,73.02631149464541,63.205577097550815,9.820734397094604,qf,168
8,291,305,17.0,19.0,17.0,0.0,8049.0,1555.0,4020.0,3300.0,29.0,18.0,75.68600418592071,70.16140491543548,5.524599270485221,22.0,25.0,10.0,1.0,8479.0,1872.0,4340.0,3600.0,9.0,7.0,93.83628992157988,63.49754636419021,30.338743557389677,qf,-14
9,382,255,17.0,19.0,17.0,0.0,8049.0,1555.0,4020.0,3300.0,29.0,18.0,75.68600418592071,70.16140491543548,5.524599270485221,22.0,25.0,10.0,1.0,8479.0,1872.0,4340.0,3600.0,9.0,7.0,93.83628992157988,63.49754636419021,30.338743557389677,qf,127
