,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,203,309,31.0,18.0,18.0,0.0,8456.0,1864.0,4380.0,3250.0,116.0,13.0,84.3562919559234,70.47613874302888,13.880153212894514,31.0,18.0,18.0,0.0,8456.0,1864.0,4380.0,3250.0,116.0,13.0,84.3562919559234,70.47613874302888,13.880153212894514,f,-106
1,172,259,31.0,18.0,18.0,0.0,8456.0,1864.0,4380.0,3250.0,116.0,13.0,84.3562919559234,70.47613874302888,13.880153212894514,31.0,18.0,18.0,0.0,8456.0,1864.0,4380.0,3250.0,116.0,13.0,84.3562919559234,70.47613874302888,13.880153212894514,f,-87
2,305,289,23.0,16.0,20.0,0.0,7948.0,1452.0,4040.0,3150.0,83.0,15.666666666666666,76.90103013841116,78.81761276800128,-1.9165826295901074,23.0,16.0,20.0,0.0,7948.0,1452.0,4040.0,3150.0,83.0,15.666666666666666,76.90103013841116,78.81761276800128,-1.9165826295901074,qf,16
3,195,311,23.0,16.0,20.0,0.0,7948.0,1452.0,4040.0,3150.0,83.0,15.666666666666666,76.90103013841116,78.81761276800128,-1.9165826295901074,23.0,16.0,20.0,0.0,7948.0,1452.0,4040.0,3150.0,83.0,15.666666666666666,76.90103013841116,78.81761276800128,-1.9165826295901074,qf,-116
4,215,387,23.0,16.0,20.0,0.0,7948.0,1452.0,4040.0,3150.0,83.0,15.666666666666666,76.90103013841116,78.81761276800128,-1.9165826295901074,23.0,16.0,20.0,0.0,7948.0,1452.0,4040.0,3150.0,83.0,15.666666666666666,76.90103013841116,78.81761276800128,-1.9165826295901074,qf,-172
5,288,219,27.0,19.0,17.0,0.0,8060.0,1523.0,4260.0,3000.0,125.0,12.666666666666666,80.3844088935807,75.5956448163214,4.788764077259304,27.0,19.0,17.0,0.0,8060.0,1523.0,4260.0,3000.0,125.0,12.666666666666666,80.3844088935807,75.5956448163214,4.788764077259304,qf,69
6,283,330,27.0,19.0,17.0,0.0,8060.0,1523.0,4260.0,3000.0,125.0,12.666666666666666,80.3844088935807,75.5956448163214,4.788764077259304,27.0,19.0,17.0,0.0,8060.0,1523.0,4260.0,3000.0,125.0,12.666666666666666,80.3844088935807,75.5956448163214,4.788764077259304,qf,-47
7,311,226,27.0,19.0,17.0,0.0,8060.0,1523.0,4260.0,3000.0,125.0,12.666666666666666,80.3844088935807,75.5956448163214,4.788764077259304,27.0,19.0,17.0,0.0,8060.0,1523.0,4260.0,3000.0,125.0,12.666666666666666,80.3844088935807,75.5956448163214,4.788764077259304,qf,85
8,235,305,24.0,18.0,17.0,0.0,7472.0,1657.0,3560.0,3000.0,82.0,16.333333333333332,79.35762798827801,70.85867550294955,8.498952485328473,24.0,18.0,17.0,0.0,7472.0,1657.0,3560.0,3000.0,82.0,16.333333333333332,79.35762798827801,70.85867550294955,8.498952485328473,qf,-70
9,195,305,24.0,18.0,17.0,0.0,7472.0,1657.0,3560.0,3000.0,82.0,16.333333333333332,79.35762798827801,70.85867550294955,8.498952485328473,24.0,18.0,17.0,0.0,7472.0,1657.0,3560.0,3000.0,82.0,16.333333333333332,79.35762798827801,70.85867550294955,8.498952485328473,qf,-110
10,255,311,15.0,20.0,16.0,0.0,7721.0,1404.0,3820.0,3150.0,91.0,12.333333333333334,69.75971697320777,75.94618500276253,-6.186468029554779,15.0,20.0,16.0,0.0,7721.0,1404.0,3820.0,3150.0,91.0,12.333333333333334,69.75971697320777,75.94618500276253,-6.186468029554779,qf,-56
11,235,263,15.0,20.0,16.0,0.0,7721.0,1404.0,3820.0,3150.0,91.0,12.333333333333334,69.75971697320777,75.94618500276253,-6.186468029554779,15.0,20.0,16.0,0.0,7721.0,1404.0,3820.0,3150.0,91.0,12.333333333333334,69.75971697320777,75.94618500276253,-6.186468029554779,qf,-28
12,140,305,19.0,17.0,19.0,0.0,7764.0,1412.0,4040.0,3050.0,59.0,15.0,66.1452037120485,70.51925284773925,-4.37404913569075,19.0,17.0,19.0,0.0,7764.0,1412.0,4040.0,3050.0,59.0,15.0,66.1452037120485,70.51925284773925,-4.37404913569075,qm,-165
13,267,210,39.0,21.0,14.0,0.0,8196.0,1586.0,4300.0,2900.0,116.0,10.666666666666666,88.67119642619211,56.60940886092957,32.06178756526255,39.0,21.0,14.0,0.0,8196.0,1586.0,4300.0,2900.0,116.0,10.666666666666666,88.67119642619211,56.60940886092957,32.06178756526255,qm,57
