,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,252,322,19.0,10.0,8.0,0.0,4560.0,612.0,2160.0,2100.0,35.0,9.333333333333334,90.2153743853649,92.27265908803416,-2.0572847026692593,19.0,10.0,8.0,0.0,4560.0,612.0,2160.0,2100.0,35.0,9.333333333333334,90.2153743853649,92.27265908803416,-2.0572847026692593,f,-70
1,247,303,19.0,10.0,8.0,0.0,4560.0,612.0,2160.0,2100.0,35.0,9.333333333333334,90.2153743853649,92.27265908803416,-2.0572847026692593,19.0,10.0,8.0,0.0,4560.0,612.0,2160.0,2100.0,35.0,9.333333333333334,90.2153743853649,92.27265908803416,-2.0572847026692593,f,-56
2,315,287,26.0,11.0,7.0,0.0,4455.0,901.0,2120.0,1950.0,90.0,12.666666666666666,89.17389649301265,73.85600913553414,15.31788735747852,26.0,11.0,7.0,0.0,4455.0,901.0,2120.0,1950.0,90.0,12.666666666666666,89.17389649301265,73.85600913553414,15.31788735747852,qf,28
3,328,313,26.0,11.0,7.0,0.0,4455.0,901.0,2120.0,1950.0,90.0,12.666666666666666,89.17389649301265,73.85600913553414,15.31788735747852,26.0,11.0,7.0,0.0,4455.0,901.0,2120.0,1950.0,90.0,12.666666666666666,89.17389649301265,73.85600913553414,15.31788735747852,qf,15
4,305,285,28.0,10.0,8.0,0.0,4611.0,757.0,2200.0,2050.0,51.0,10.666666666666666,102.98514562180964,78.83207916570676,24.15306645610289,28.0,10.0,8.0,0.0,4611.0,757.0,2200.0,2050.0,51.0,10.666666666666666,102.98514562180964,78.83207916570676,24.15306645610289,qf,20
5,310,270,28.0,10.0,8.0,0.0,4611.0,757.0,2200.0,2050.0,51.0,10.666666666666666,102.98514562180964,78.83207916570676,24.15306645610289,28.0,10.0,8.0,0.0,4611.0,757.0,2200.0,2050.0,51.0,10.666666666666666,102.98514562180964,78.83207916570676,24.15306645610289,qf,40
6,210,309,10.0,11.0,7.0,0.0,4094.0,518.0,2000.0,1750.0,49.0,13.333333333333334,75.75509897789028,56.485225056179274,19.269873921711007,10.0,11.0,7.0,0.0,4094.0,518.0,2000.0,1750.0,49.0,13.333333333333334,75.75509897789028,56.485225056179274,19.269873921711007,qf,-99
7,210,240,10.0,11.0,7.0,0.0,4094.0,518.0,2000.0,1750.0,49.0,13.333333333333334,75.75509897789028,56.485225056179274,19.269873921711007,10.0,11.0,7.0,0.0,4094.0,518.0,2000.0,1750.0,49.0,13.333333333333334,75.75509897789028,56.485225056179274,19.269873921711007,qf,-30
8,255,240,31.0,8.0,10.0,0.0,4279.0,863.0,2200.0,1750.0,54.0,16.333333333333332,88.2015036500603,56.55347244172159,31.64803120833872,31.0,8.0,10.0,0.0,4279.0,863.0,2200.0,1750.0,54.0,16.333333333333332,88.2015036500603,56.55347244172159,31.64803120833872,qf,15
9,205,233,31.0,8.0,10.0,0.0,4279.0,863.0,2200.0,1750.0,54.0,16.333333333333332,88.2015036500603,56.55347244172159,31.64803120833872,31.0,8.0,10.0,0.0,4279.0,863.0,2200.0,1750.0,54.0,16.333333333333332,88.2015036500603,56.55347244172159,31.64803120833872,qf,-28
10,160,346,31.0,8.0,10.0,0.0,4279.0,863.0,2200.0,1750.0,54.0,16.333333333333332,88.2015036500603,56.55347244172159,31.64803120833872,31.0,8.0,10.0,0.0,4279.0,863.0,2200.0,1750.0,54.0,16.333333333333332,88.2015036500603,56.55347244172159,31.64803120833872,qf,-186
11,190,241,31.0,9.0,9.0,0.0,4483.0,693.0,2020.0,2100.0,83.0,12.666666666666666,79.91210350964973,83.56366470735351,-3.6515611977037827,31.0,9.0,9.0,0.0,4483.0,693.0,2020.0,2100.0,83.0,12.666666666666666,79.91210350964973,83.56366470735351,-3.6515611977037827,qm,-51
12,195,173,25.0,11.0,7.0,0.0,3982.0,684.0,2020.0,1650.0,32.0,13.333333333333334,69.10681002087114,70.79031392404362,-1.6835039031724814,25.0,11.0,7.0,0.0,3982.0,684.0,2020.0,1650.0,32.0,13.333333333333334,69.10681002087114,70.79031392404362,-1.6835039031724814,qm,22
13,140,308,10.0,10.0,8.0,0.0,4400.0,607.0,2120.0,2000.0,30.0,11.333333333333334,79.24707976381258,80.21339625846414,-0.9663164946515627,10.0,10.0,8.0,0.0,4400.0,607.0,2120.0,2000.0,30.0,11.333333333333334,79.24707976381258,80.21339625846414,-0.9663164946515627,qm,-168
14,185,355,26.0,9.0,9.0,0.0,4050.0,483.0,2160.0,1550.0,35.0,13.333333333333334,58.60279291742919,104.44664597580076,-45.84385305837157,26.0,9.0,9.0,0.0,4050.0,483.0,2160.0,1550.0,35.0,13.333333333333334,58.60279291742919,104.44664597580076,-45.84385305837157,qm,-170
15,190,254,22.0,6.0,12.0,0.0,4053.0,574.0,2140.0,1500.0,108.0,21.333333333333332,70.98393281034795,96.0650076061039,-25.081074795755956,22.0,6.0,12.0,0.0,4053.0,574.0,2140.0,1500.0,108.0,21.333333333333332,70.98393281034795,96.0650076061039,-25.081074795755956,qm,-64
16,205,210,20.0,6.0,12.0,0.0,3845.0,810.0,2140.0,1400.0,35.0,21.666666666666668,58.69443557499357,79.14251290932778,-20.44807733433421,20.0,6.0,12.0,0.0,3845.0,810.0,2140.0,1400.0,35.0,21.666666666666668,58.69443557499357,79.14251290932778,-20.44807733433421,qm,-5
17,235,298,10.0,5.0,13.0,0.0,3758.0,378.0,1980.0,1550.0,3.0,23.666666666666668,55.152023702688496,105.08594345117143,-49.933919748482936,10.0,5.0,13.0,0.0,3758.0,378.0,1980.0,1550.0,3.0,23.666666666666668,55.152023702688496,105.08594345117143,-49.933919748482936,qm,-63
18,258,305,31.0,8.0,10.0,0.0,4411.0,1037.0,2280.0,1750.0,66.0,16.333333333333332,83.44341694864922,92.83682056259647,-9.393403613947248,31.0,8.0,10.0,0.0,4411.0,1037.0,2280.0,1750.0,66.0,16.333333333333332,83.44341694864922,92.83682056259647,-9.393403613947248,qm,-47
19,292,255,21.0,12.0,6.0,0.0,4706.0,702.0,2180.0,2200.0,36.0,6.666666666666667,102.36933846516526,65.74692864356075,36.62240982160451,21.0,12.0,6.0,0.0,4706.0,702.0,2180.0,2200.0,36.0,6.666666666666667,102.36933846516526,65.74692864356075,36.62240982160451,qm,37
