,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,206,165,14.0,22.0,14.0,0.0,5783.0,723.0,2860.0,2000.0,43.0,9.333333333333334,73.46044162839264,37.89606443742341,35.56437719096923,14.0,22.0,14.0,0.0,5783.0,723.0,2860.0,2000.0,43.0,9.333333333333334,73.46044162839264,37.89606443742341,35.56437719096923,f,41
1,256,170,14.0,22.0,14.0,0.0,5783.0,723.0,2860.0,2000.0,43.0,9.333333333333334,73.46044162839264,37.89606443742341,35.56437719096923,14.0,22.0,14.0,0.0,5783.0,723.0,2860.0,2000.0,43.0,9.333333333333334,73.46044162839264,37.89606443742341,35.56437719096923,f,86
2,135,195,13.0,18.0,18.0,0.0,4662.0,579.0,2300.0,1300.0,112.0,17.666666666666668,34.00718336881048,47.86489086167117,-13.85770749286069,13.0,18.0,18.0,0.0,4662.0,579.0,2300.0,1300.0,112.0,17.666666666666668,34.00718336881048,47.86489086167117,-13.85770749286069,qf,-60
3,115,205,13.0,18.0,18.0,0.0,4662.0,579.0,2300.0,1300.0,112.0,17.666666666666668,34.00718336881048,47.86489086167117,-13.85770749286069,13.0,18.0,18.0,0.0,4662.0,579.0,2300.0,1300.0,112.0,17.666666666666668,34.00718336881048,47.86489086167117,-13.85770749286069,qf,-90
4,390,100,15.0,19.0,16.0,0.0,5350.0,888.0,2560.0,2000.0,50.0,12.666666666666666,55.76791201741426,45.47506824240154,10.292843775012726,15.0,19.0,16.0,0.0,5350.0,888.0,2560.0,2000.0,50.0,12.666666666666666,55.76791201741426,45.47506824240154,10.292843775012726,qf,290
5,240,185,15.0,19.0,16.0,0.0,5350.0,888.0,2560.0,2000.0,50.0,12.666666666666666,55.76791201741426,45.47506824240154,10.292843775012726,15.0,19.0,16.0,0.0,5350.0,888.0,2560.0,2000.0,50.0,12.666666666666666,55.76791201741426,45.47506824240154,10.292843775012726,qf,55
6,220,256,13.0,19.0,17.0,0.0,4695.0,510.0,2600.0,1450.0,40.0,15.666666666666666,35.71974294593619,34.64218399335271,1.0775589525834743,13.0,19.0,17.0,0.0,4695.0,510.0,2600.0,1450.0,40.0,15.666666666666666,35.71974294593619,34.64218399335271,1.0775589525834743,qf,-36
7,205,200,13.0,19.0,17.0,0.0,4695.0,510.0,2600.0,1450.0,40.0,15.666666666666666,35.71974294593619,34.64218399335271,1.0775589525834743,13.0,19.0,17.0,0.0,4695.0,510.0,2600.0,1450.0,40.0,15.666666666666666,35.71974294593619,34.64218399335271,1.0775589525834743,qf,5
8,245,256,13.0,19.0,17.0,0.0,4695.0,510.0,2600.0,1450.0,40.0,15.666666666666666,35.71974294593619,34.64218399335271,1.0775589525834743,13.0,19.0,17.0,0.0,4695.0,510.0,2600.0,1450.0,40.0,15.666666666666666,35.71974294593619,34.64218399335271,1.0775589525834743,qf,-11
9,145,296,23.0,19.0,17.0,0.0,5150.0,700.0,2700.0,1750.0,35.0,14.0,54.72729151864221,41.233037710106935,13.494253808535277,23.0,19.0,17.0,0.0,5150.0,700.0,2700.0,1750.0,35.0,14.0,54.72729151864221,41.233037710106935,13.494253808535277,qf,-151
