,b_score,r_score,b_experience,b_wins,b_losses,b_ties,b_points,b_auto,b_rotor,b_touchpad,b_pressure,b_rank,b_OPR,b_DPR,b_CCWM,r_experience,r_wins,r_losses,r_ties,r_points,r_auto,r_rotor,r_touchpad,r_pressure,r_rank,r_OPR,r_DPR,r_CCWM,level,win_margin
0,288,401,29.0,17.0,11.0,2.0,8185.0,1849.0,3980.0,3000.0,550.0,11.0,101.27688749088951,94.47571032562132,6.801177165268172,22.0,19.0,9.0,2.0,8459.0,1846.0,4000.0,3050.0,819.0,7.666666666666667,111.91043198281726,70.14811283525452,41.76231914756274,f,-113
1,335,418,29.0,17.0,11.0,2.0,8185.0,1849.0,3980.0,3000.0,550.0,11.0,101.27688749088951,94.47571032562132,6.801177165268172,22.0,19.0,9.0,2.0,8459.0,1846.0,4000.0,3050.0,819.0,7.666666666666667,111.91043198281726,70.14811283525452,41.76231914756274,f,-83
2,242,467,19.0,14.0,15.0,1.0,7526.0,1551.0,3800.0,2950.0,101.0,30.0,79.588093346273,83.59876680708018,-4.010673460807179,22.0,19.0,9.0,2.0,8459.0,1846.0,4000.0,3050.0,819.0,7.666666666666667,111.91043198281726,70.14811283525452,41.76231914756274,qf,-225
3,296,387,19.0,14.0,15.0,1.0,7526.0,1551.0,3800.0,2950.0,101.0,30.0,79.588093346273,83.59876680708018,-4.010673460807179,22.0,19.0,9.0,2.0,8459.0,1846.0,4000.0,3050.0,819.0,7.666666666666667,111.91043198281726,70.14811283525452,41.76231914756274,qf,-91
4,307,248,31.0,18.0,11.0,1.0,8425.0,1853.0,4160.0,3500.0,175.0,13.333333333333334,113.6144212063411,77.24536986122962,36.369051345111494,26.0,18.0,10.0,2.0,8329.0,1465.0,3600.0,3600.0,399.0,12.666666666666666,105.01356186738565,75.97267639740546,29.040885469980193,qf,59
5,334,323,31.0,18.0,11.0,1.0,8425.0,1853.0,4160.0,3500.0,175.0,13.333333333333334,113.6144212063411,77.24536986122962,36.369051345111494,26.0,18.0,10.0,2.0,8329.0,1465.0,3600.0,3600.0,399.0,12.666666666666666,105.01356186738565,75.97267639740546,29.040885469980193,qf,11
6,255,367,43.0,17.0,11.0,2.0,8123.0,2019.0,4020.0,3300.0,218.0,19.666666666666668,97.82053239750614,82.11323702814546,15.70729536936067,29.0,17.0,11.0,2.0,8185.0,1849.0,3980.0,3000.0,550.0,11.0,101.27688749088951,94.47571032562132,6.801177165268172,qf,-112
7,165,359,43.0,17.0,11.0,2.0,8123.0,2019.0,4020.0,3300.0,218.0,19.666666666666668,97.82053239750614,82.11323702814546,15.70729536936067,29.0,17.0,11.0,2.0,8185.0,1849.0,3980.0,3000.0,550.0,11.0,101.27688749088951,94.47571032562132,6.801177165268172,qf,-194
8,395,473,20.0,16.0,13.0,1.0,8606.0,1852.0,4120.0,3500.0,256.0,15.666666666666666,115.04624439794871,87.3802833243459,27.665961073602812,31.0,17.0,13.0,0.0,7799.0,1706.0,4140.0,2850.0,229.0,14.666666666666666,84.9372029420888,86.097907111971,-1.1607041698821945,qf,-78
9,450,396,20.0,16.0,13.0,1.0,8606.0,1852.0,4120.0,3500.0,256.0,15.666666666666666,115.04624439794871,87.3802833243459,27.665961073602812,31.0,17.0,13.0,0.0,7799.0,1706.0,4140.0,2850.0,229.0,14.666666666666666,84.9372029420888,86.097907111971,-1.1607041698821945,qf,54
10,255,454,20.0,16.0,13.0,1.0,8606.0,1852.0,4120.0,3500.0,256.0,15.666666666666666,115.04624439794871,87.3802833243459,27.665961073602812,31.0,17.0,13.0,0.0,7799.0,1706.0,4140.0,2850.0,229.0,14.666666666666666,84.9372029420888,86.097907111971,-1.1607041698821945,qf,-199
11,250,140,15.0,17.0,10.0,3.0,8061.0,1768.0,4080.0,3100.0,221.0,15.666666666666666,94.7640754364074,80.6347978122954,14.12927762411199,17.0,14.0,16.0,0.0,7357.0,1726.0,3780.0,2700.0,277.0,25.0,67.96686132776047,89.77238899992626,-21.805527672165805,qm,110
12,200,305,18.0,14.0,14.0,2.0,7304.0,1652.0,3940.0,2650.0,234.0,28.666666666666668,74.30803211511484,77.45527170342426,-3.1472395883094086,5.0,14.0,16.0,0.0,7519.0,1773.0,3580.0,3150.0,204.0,30.666666666666668,81.2711338005168,89.99446585923361,-8.723332058716808,qm,-105
13,310,310,33.0,15.0,11.0,4.0,8615.0,1721.0,3960.0,3500.0,440.0,13.666666666666666,108.65190899288844,98.53000624763727,10.121902745251168,12.0,10.0,16.0,4.0,7093.0,1685.0,3640.0,2800.0,128.0,37.333333333333336,73.59162366776995,92.38570046007477,-18.794076792304825,qm,0
14,316,135,48.0,14.0,15.0,1.0,7749.0,1622.0,3680.0,3200.0,304.0,25.666666666666668,92.63366920391638,71.46011300109615,21.173556202820247,20.0,14.0,14.0,2.0,7373.0,1686.0,3680.0,2550.0,558.0,19.666666666666668,66.5969446661097,81.22508992986666,-14.62814526375695,qm,181
15,230,312,18.0,12.0,18.0,0.0,7622.0,1538.0,3760.0,3250.0,162.0,39.0,82.94286754882204,92.02693111988452,-9.084063571062481,14.0,14.0,14.0,2.0,7859.0,1933.0,3700.0,2700.0,809.0,28.333333333333332,95.97957197623754,83.09077380832512,12.888798167912418,qm,-82
16,280,313,11.0,15.0,14.0,1.0,7963.0,1231.0,3800.0,3150.0,213.0,23.0,89.93281379145765,87.31885116600812,2.6139626254495263,4.0,19.0,11.0,0.0,7905.0,1464.0,3680.0,3250.0,225.0,17.333333333333332,83.60852857612046,78.33204088235645,5.2764876937640155,qm,-33
17,286,261,20.0,17.0,13.0,0.0,8077.0,1761.0,3880.0,3350.0,212.0,17.333333333333332,94.0660919904816,97.05435940605064,-2.988267415569022,32.0,14.0,15.0,1.0,7861.0,1716.0,3880.0,3200.0,191.0,28.666666666666668,91.09925051201806,82.71353711939574,8.385713392622328,qm,25
18,298,330,28.0,9.0,18.0,2.0,7338.0,1540.0,3860.0,2700.0,138.0,38.333333333333336,82.85339251499842,95.19409290158937,-12.340700386590944,22.0,21.0,8.0,1.0,8460.0,1731.0,4040.0,3500.0,150.0,9.333333333333334,112.84804064582251,83.88713790509107,28.96090274073144,qm,-32
